Brand,Animal Welfare,Annual Leave & Public Holidays,"Anti-bribery, Corruption, & Presentation of False Information",Biodiversity & Conservation ,Community Engagement,Discrimination,Diversity & Inclusion ,Energy & Greenhouse Gas Emissions,Equal Pay ,"Freedom of Association, Right to Organise & Collective Bargaining ",Harassment & Violence,Health & Safety,Maternity Rights & Parental Leave ,Mental Health & Wellbeing,Restricted Substance List (RSL),"Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)",Waste & Recycling (Packaging/Office/Retail),Waste & Recycling (Product/Textiles) ,Water Consumption,Working Hours & Rest Breaks,Total
Abercrombie & Fitch,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0,0.25,0.25,3.25
Adidas,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,3.75
Aeropostale,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
AJIO,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0,0.25,0,3
ALDI Nord,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,3.5
ALDI SOUTH,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,3.5
ALDO,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0,3
Amazon,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,4.5
American Eagle,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,4.25
ANTA,0,0.25,0.25,0,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,1.75
Anthropologie,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,2.75
Aritzia,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0.25,0.25,0,0,2.75
Armani,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,0.25,4
Asda,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,4.5
