Brand,Annual Leave & Public Holidays,"Anti-bribery, Corruption & Presentation of False Information",Biodiversity & Conservation ,Child Labour ,Community Engagement,"Contracts & Terms of Employment (including notice period, dismissal & disciplinary action)",Discrimination,Energy & Greenhouse Gas Emissions,Equal Pay ,Forced & Bonded Labour,Foreign & Migrant Labour ,"Freedom of Association, Right to Organise & Collective Bargaining ",Harassment & Violence,Health & Safety,Homeworking,Living Conditions/Dormitories,Manufacturing Restricted Substances List (MRSL),Maternity Rights & Parental Leave ,Overtime Pay,Subcontracting,"Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)",Waste & Recycling (Packaging/Office/Facility),Waste & Recycling (Product/Textiles) ,Water Effluents & Treatment,Water Consumption,Working Hours & Rest Breaks,"Does the company state that its supplier/vendor policies are based on credible international standards such as the Ethical Trading Initiative Base Code, relevant UN and ILO Conventions, OECD Guidelines for Multinational Enterprises or the UN Global Compact",Does the company publish whether the policy (or policies) is part of the purchase agreement or if a supplier signature is required,Publishes translations of the supplier/vendor policies/CoC in local languages of production/sourcing countries,Total
Abercrombie & Fitch,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.5,1,0,7
Adidas,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.75
Aeropostale,0,0,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,1,0,3.5
AJIO,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75
ALDI Nord,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.5,1,1,7.5
ALDI SOUTH,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.5,1,0,6.5
ALDO,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0.5,1,1,6.5
Amazon,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0.5,1,1,6.75
American Eagle,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,0,5.5
ANTA,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,2.25
