Brand,Animal Welfare,Annual Leave & Public Holidays,"Anti-bribery, Corruption & Presentation of False Information",Biodiversity & Conservation ,Child Labour ,Community Engagement,"Contracts & Terms of Employment (including notice period, dismissal & disciplinary action)",Discrimination ,Diversity & Inclusion ,Energy & Greenhouse Gas Emissions,Equal Pay ,Forced & Bonded Labour,Foreign & Migrant Labour ,"Freedom of Association, Right to Organise & Collective Bargaining ",Harassment & Violence,Health & Safety,Homeworking,Living Conditions/Dormitories,Manufacturing Restricted Substances List (MRSL),Maternity Rights & Parental Leave ,Mental Health & Wellbeing,Overtime Pay,Restricted Substances List (RSL),Subcontracting,"Wages & Benefits (e.g. bonuses, insurance, social security, pensions)",Waste & Recycling (Packaging/Office/Facility/Retail),Waste & Recycling (Product/Textiles) ,Water Effluents & Treatment,Water Consumption,Working Hours & Rest Breaks,Total
Abercrombie & Fitch,0.5,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,6.5
Adidas,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14.5
Aeropostale,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,1.5
AJIO,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,5.5
ALDI Nord,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,6
ALDI SOUTH,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,11
ALDO,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,4.5
Amazon,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0,8
American Eagle,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,7.5
ANTA,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,3.5
Anthropologie,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,5
