Brand,"Publishes measurable, time-bound and long-term commitments, targets or goals on improving human rights","Publishes measurable, time-bound and long-term commitments, targets or goals on improving environmental impacts","Annual, up-to-date disclosure of progress towards achieving the company's measurable, time-bound and long-term human rights commitments, targets or goals ","Annual, up-to-date disclosure of progress towards achieving the company's measurable, time-bound and long-term environmental commitments, targets or goals ",Total
Abercrombie & Fitch,0.5,0.5,0,1,2
Adidas,0.5,0.5,0,1,2
Aeropostale,0,0,0,0,0
AJIO,0,0,0,0,0
ALDI Nord,0.5,0.5,1,1,3
ALDI SOUTH,0.5,0.5,1,1,3
ALDO,0,0.5,0,0,0.5
Amazon,0.5,0.5,1,1,3
American Eagle,0,0.5,0,1,1.5
ANTA,0,0,0,0,0
Anthropologie,0,0.5,0,1,1.5
Aritzia,0,0,0,0,0
Armani,0,0.5,0,1,1.5
Asda,0.5,0.5,1,1,3
ASICS,0.5,0.5,1,1,3
ASOS,0.5,0.5,1,0,2
Balenciaga,0.5,0.5,1,1,3
Bally,0,0.5,0,1,1.5
Banana Republic,0.5,0.5,1,1,3
BCBGMAXAZRIA,0,0,0,0,0
Beanpole,0,0,0,0,0
Belle,0,0,0,0,0
Bershka,0.5,0.5,1,1,3
Big Bazaar - ffb,0,0,0,0,0
Big W,0.5,0.5,1,1,3
Billabong,0,0,0,0,0
Bloomingdale's,0.5,0.5,0,0,1
Bonprix,0.5,0.5,1,1,3
boohoo,0.5,0.5,1,1,3
Bosideng,0,0,0,0,0
Bottega Veneta,0.5,0.5,1,1,3
Brooks Sport,0.5,0.5,1,1,3
Brunello Cucinelli,0,0,0,0,0
Buckle,0,0,0,0,0
Burberry,0.5,0.5,1,1,3
Burlington,0,0,0,0,0
C&A,0,0.5,1,1,2.5
Calvin Klein,0.5,0.5,1,1,3
Calzedonia,0,0.5,0,1,1.5
Canada Goose,0,0.5,0,1,1.5
Carhartt,0,0,0,0,0
Carolina Herrera,0,0,0,1,1
CAROLL,0,0,0,0,0
Carrefour ,0.5,0.5,1,1,3
Carter's,0,0.5,0,0,0.5
CELINE,0,0.5,0,1,1.5
celio,0,0,0,0,0
Champion,0,0.5,0,1,1.5
Chanel,0,0.5,0,0,0.5
Chico's,0,0,0,0,0
Chloé,0,0.5,0,1,1.5
Claire's,0,0,0,0,0
Clarks,0.5,0,1,0,1.5
COACH,0.5,0.5,1,1,3
Cole Haan,0,0,0,0,0
Columbia Sportswear,0.5,0,0,0,0.5
Converse,0.5,0.5,1,1,3
Cortefiel,0,0.5,0,1,1.5
Costco,0,0,0,0,0
Cotton On,0,0.5,1,1,2.5
Decathlon,0.5,0.5,1,1,3
Deichmann,0,0,0,0,0
Desigual,0,0.5,0,1,1.5
Dick's Sporting Goods,0.5,0.5,0,0,1
Diesel,0,0,0,0,0
Dillard's,0,0,0,0,0
Dior,0,0.5,0,1,1.5
Disney,0,0.5,0,1,1.5
DKNY,0,0,0,0,0
Dolce & Gabbana,0,0,0,0,0
Dr. Martens,0,0.5,0,0,0.5
Dressmann,0.5,0.5,1,1,3
DSW,0,0,0,0,0
Eddie Bauer,0,0,0,0,0
El Corte Inglés,0,0.5,0,1,1.5
Elie Tahari,0,0,0,0,0
Ermenegildo Zegna,0,0,0,0,0
Esprit,0.5,0.5,1,1,3
Express,0,0,0,0,0
Falabella,0.5,0.5,1,1,3
Famous Footwear,0,0,0,0,0
Fanatics,0,0,0,0,0
Fashion Nova,0,0,0,0,0
Fendi,0,0.5,0,1,1.5
