Brand,Publishes an annual sustainability or corporate social responsibility report (could also be found within annual company report) that is audited or verified by an independent third party. ,Total
Abercrombie & Fitch,0,0
Adidas,1,1
Aeropostale,0,0
AJIO,1,1
ALDI Nord,1,1
ALDI SOUTH,0,0
ALDO,0,0
Amazon,1,1
American Eagle,0,0
ANTA,0,0
Anthropologie,0,0
Aritzia,0,0
Armani,0,0
Asda,1,1
ASICS,1,1
ASOS,0,0
Balenciaga,1,1
Bally,0,0
Banana Republic,0,0
BCBGMAXAZRIA,0,0
Beanpole,1,1
Belle,0,0
Bershka,1,1
Big Bazaar - ffb,0,0
Big W,1,1
Billabong,0,0
Bloomingdale's,0,0
Bonprix,1,1
boohoo,0,0
Bosideng,0,0
Bottega Veneta,1,1
Brooks Sport,0,0
Brunello Cucinelli,0,0
Buckle,0,0
Burberry,1,1
Burlington,1,1
C&A,0,0
Calvin Klein,0,0
Calzedonia,0,0
Canada Goose,0,0
Carhartt,0,0
Carolina Herrera,1,1
CAROLL,1,1
Carrefour ,1,1
Carter's,0,0
CELINE,1,1
celio,0,0
Champion,0,0
Chanel,0,0
Chico's,0,0
Chloé,0,0
Claire's,0,0
Clarks,0,0
COACH,0,0
Cole Haan,0,0
Columbia Sportswear,0,0
Converse,1,1
Cortefiel,1,1
Costco,0,0
Cotton On,0,0
Decathlon,1,1
Deichmann,0,0
Desigual,1,1
Dick's Sporting Goods,1,1
Diesel,0,0
Dillard's,0,0
Dior,1,1
Disney,0,0
DKNY,0,0
Dolce & Gabbana,0,0
Dr. Martens,0,0
Dressmann,0,0
DSW,0,0
Eddie Bauer,0,0
El Corte Inglés,1,1
Elie Tahari,0,0
Ermenegildo Zegna,0,0
Esprit,0,0
Express,0,0
Falabella,1,1
Famous Footwear,0,0
Fanatics,0,0
Fashion Nova,0,0
Fendi,1,1
Fila,0,0
Fjällräven,0,0
Foot Locker,0,0
Foschini,0,0
Fossil,0,0
Free people,0,0
Fruit of the Loom,0,0
Furla,0,0
Gap,0,0
Gerry Weber,0,0
Gildan,1,1
G-Star RAW,0,0
GU,1,1
Gucci,1,1
GUESS,0,0
H&M,1,1
Hanes,0,0
Heilan Home,0,0
Helly Hansen,0,0
HEMA,0,0
Hermès,1,1
Hollister Co.,0,0
Hudson's Bay,0,0
Hugo Boss,1,1
Intimissimi,0,0
Ito-Yokado,1,1
Jack & Jones,0,0
JD Sports,0,0
Jessica Simpson,0,0
Jil Sander,0,0
Jockey,0,0
Joe Fresh,0,0
John Lewis,1,1
Jordan,1,1
Justfab,0,0
Kate Spade,0,0
Kathmandu,0,0
Kaufland,0,0
Kiabi,1,1
KiK,1,1
Kmart ,0,0
Kmart Australia,1,1
Kohl's,0,0
KOOVS,0,0
K-Way,0,0
La Redoute,0,0
Lacoste,1,1
Lands' End,0,0
LC Waikiki,0,0
Levi Strauss & Co,1,1
Lidl,0,0
Lindex,0,0
Li-Ning,0,0
LL Bean,0,0
Longchamp,0,0
Louis Vuitton,1,1
Lululemon,0,0
Macy's,0,0
Mammut,1,1
Mango,1,1
Marc Jacobs,1,1
Marks & Spencer,1,1
Marni,0,0
Massimo Dutti,1,1
Matalan,0,0
Max Mara,0,0
Merrell,0,0
Metersbonwe,0,0
Mexx,0,0
Michael Kors,0,0
Miu Miu,0,0
Mizuno,0,0
Moncler,1,1
Monoprix,1,1
Morrisons,1,1
MRP,0,0
Muji,0,0
New Balance,0,0
New Look,0,0
New Yorker,0,0
Next,1,1
Nike,1,1
Nine West,0,0
Nordstrom,0,0
Old Navy,0,0
Otto,1,1
OVS,1,1
Paris,1,1
Patagonia,0,0
Pepe Jeans,0,0
Pimkie,0,0
Prada,0,0
PrettyLittleThing,0,0
Primark,1,1
Prisma,1,1
Pull&Bear,1,1
Puma,1,1
Quiksilver,0,0
Ralph Lauren,0,0
Reebok,1,1
REI,0,0
Reliance Trends,1,1
Reserved,1,1
REVOLVE,0,0
River Island,0,0
Ross Dress for Less,0,0
Roxy,0,0
Russell Athletic,0,0
s.Oliver,0,0
Sainsbury's,1,1
SAINT LAURENT,1,1
Saks Fifth Avenue,0,0
Salvatore Ferragamo,1,1
Sandro,1,1
Semir,0,0
SHEIN,0,0
Skechers,0,0
Speedo,0,0
Splash,0,0
Sports Direct,0,0
Steve Madden,0,0
Stradivarius,1,1
Superdry,0,0
Takko,0,0
Target,1,1
Target Australia,1,1
Tchibo,0,0
Ted Baker,0,0
Tesco ,1,1
Tezenis,0,0
The Children's Place,0,0
The North Face,0,0
The Warehouse,0,0
Timberland,0,0
TJ Maxx,0,0
Tod's,0,0
Tom Ford,0,0
Tom Tailor,0,0
Tommy Bahama,0,0
Tommy Hilfiger,0,0
Topman,0,0
Topshop,0,0
TOPVALU COLLECTION,0,0
Tory Burch,0,0
Triumph,0,0
Truworths,0,0
UGG,0,0
Under Armour,0,0
Uniqlo,1,1
United Arrows,0,0
United Colors of Benetton,1,1
Urban Outfitters,0,0
Valentino,0,0
Van Heusen,0,0
Vans,0,0
Vero Moda,0,0
Versace,0,0
Very,0,0
Victoria's Secret,0,0
Walmart,1,1
Woolworths South Africa,1,1
Wrangler,0,0
Youngor,0,0
Zalando,1,1
Zara,1,1
Zeeman,1,1
