Brand,Discloses direct contact details for relevant department (e.g. email address and/or phone number of sustainability or CSR team),Total
Abercrombie & Fitch,0,0
Adidas,2,2
Aeropostale,0,0
AJIO,0,0
ALDI Nord,2,2
ALDI SOUTH,2,2
ALDO,2,2
Amazon,2,2
American Eagle,2,2
ANTA,2,2
Anthropologie,2,2
Aritzia,2,2
Armani,2,2
Asda,2,2
ASICS,2,2
ASOS,2,2
Balenciaga,2,2
Bally,2,2
Banana Republic,2,2
BCBGMAXAZRIA,0,0
Beanpole,2,2
Belle,0,0
Bershka,2,2
Big Bazaar - ffb,0,0
Big W,2,2
Billabong,0,0
Bloomingdale's,2,2
Bonprix,2,2
boohoo,2,2
Bosideng,2,2
Bottega Veneta,2,2
Brooks Sport,2,2
Brunello Cucinelli,0,0
Buckle,2,2
Burberry,2,2
Burlington,2,2
C&A,2,2
Calvin Klein,2,2
Calzedonia,2,2
Canada Goose,0,0
Carhartt,2,2
Carolina Herrera,2,2
CAROLL,0,0
Carrefour ,2,2
Carter's,0,0
CELINE,2,2
celio,0,0
Champion,2,2
Chanel,0,0
Chico's,0,0
Chloé,2,2
Claire's,0,0
Clarks,2,2
COACH,2,2
Cole Haan,2,2
Columbia Sportswear,2,2
Converse,2,2
Cortefiel,2,2
Costco,0,0
Cotton On,0,0
Decathlon,0,0
Deichmann,0,0
Desigual,0,0
Dick's Sporting Goods,2,2
Diesel,0,0
Dillard's,2,2
Dior,2,2
Disney,2,2
DKNY,0,0
Dolce & Gabbana,0,0
Dr. Martens,2,2
Dressmann,2,2
DSW,2,2
Eddie Bauer,0,0
El Corte Inglés,2,2
Elie Tahari,0,0
Ermenegildo Zegna,2,2
Esprit,2,2
Express,0,0
Falabella,2,2
Famous Footwear,2,2
Fanatics,0,0
Fashion Nova,0,0
Fendi,2,2
Fila,0,0
Fjällräven,2,2
Foot Locker,2,2
Foschini,2,2
Fossil,0,0
Free people,2,2
Fruit of the Loom,2,2
Furla,2,2
Gap,2,2
Gerry Weber,2,2
Gildan,2,2
G-Star RAW,2,2
GU,2,2
Gucci,2,2
GUESS,2,2
H&M,2,2
Hanes,2,2
Heilan Home,0,0
Helly Hansen,2,2
HEMA,2,2
Hermès,2,2
Hollister Co.,0,0
Hudson's Bay,2,2
Hugo Boss,2,2
Intimissimi,2,2
Ito-Yokado,0,0
Jack & Jones,2,2
JD Sports,2,2
Jessica Simpson,0,0
Jil Sander,0,0
Jockey,0,0
Joe Fresh,2,2
John Lewis,0,0
Jordan,2,2
Justfab,0,0
Kate Spade,2,2
Kathmandu,2,2
Kaufland,2,2
Kiabi,2,2
KiK,0,0
Kmart ,2,2
Kmart Australia,2,2
Kohl's,0,0
KOOVS,0,0
K-Way,2,2
La Redoute,2,2
Lacoste,2,2
Lands' End,2,2
LC Waikiki,0,0
Levi Strauss & Co,0,0
Lidl,2,2
Lindex,2,2
Li-Ning,2,2
LL Bean,0,0
Longchamp,2,2
Louis Vuitton,2,2
Lululemon,2,2
Macy's,2,2
Mammut,2,2
Mango,2,2
Marc Jacobs,2,2
Marks & Spencer,2,2
Marni,0,0
Massimo Dutti,2,2
Matalan,0,0
Max Mara,0,0
Merrell,0,0
Metersbonwe,0,0
Mexx,0,0
Michael Kors,2,2
Miu Miu,2,2
Mizuno,0,0
Moncler,2,2
Monoprix,0,0
Morrisons,2,2
MRP,0,0
Muji,2,2
New Balance,2,2
New Look,2,2
New Yorker,0,0
Next,2,2
Nike,2,2
Nine West,0,0
Nordstrom,2,2
Old Navy,2,2
Otto,2,2
OVS,2,2
Paris,2,2
Patagonia,2,2
Pepe Jeans,0,0
Pimkie,2,2
Prada,2,2
PrettyLittleThing,2,2
Primark,0,0
Prisma,2,2
Pull&Bear,2,2
Puma,2,2
Quiksilver,0,0
Ralph Lauren,2,2
Reebok,2,2
REI,2,2
Reliance Trends,0,0
Reserved,2,2
REVOLVE,2,2
River Island,2,2
Ross Dress for Less,0,0
Roxy,0,0
Russell Athletic,2,2
s.Oliver,0,0
Sainsbury's,2,2
SAINT LAURENT,2,2
Saks Fifth Avenue,2,2
Salvatore Ferragamo,2,2
Sandro,0,0
Semir,0,0
SHEIN,0,0
Skechers,0,0
Speedo,2,2
Splash,2,2
Sports Direct,0,0
Steve Madden,0,0
Stradivarius,2,2
Superdry,2,2
Takko,0,0
Target,2,2
Target Australia,2,2
Tchibo,2,2
Ted Baker,2,2
Tesco ,2,2
Tezenis,2,2
The Children's Place,0,0
The North Face,2,2
The Warehouse,2,2
Timberland,2,2
TJ Maxx,2,2
Tod's,2,2
Tom Ford,0,0
Tom Tailor,2,2
Tommy Bahama,0,0
Tommy Hilfiger,2,2
Topman,2,2
Topshop,2,2
TOPVALU COLLECTION,0,0
Tory Burch,0,0
Triumph,0,0
Truworths,0,0
UGG,2,2
Under Armour,0,0
Uniqlo,2,2
United Arrows,0,0
United Colors of Benetton,2,2
Urban Outfitters,2,2
Valentino,2,2
Van Heusen,2,2
Vans,2,2
Vero Moda,2,2
Versace,2,2
Very,2,2
Victoria's Secret,0,0
Walmart,2,2
Woolworths South Africa,2,2
Wrangler,2,2
Youngor,0,0
Zalando,2,2
Zara,2,2
Zeeman,2,2
