Brand,Discloses name of board member responsible for human rights and environmental issues in the business,Publishes description of how board level accountability is implemented in practice ,Worker representation on the corporate board of directors,Total
Abercrombie & Fitch,1,1,0,2
Adidas,1,0,1,2
Aeropostale,0,0,0,0
AJIO,1,1,0,2
ALDI Nord,1,0,0,1
ALDI SOUTH,1,1,0,2
ALDO,0,0,0,0
Amazon,1,1,0,2
American Eagle,1,0,0,1
ANTA,0,0,0,0
Anthropologie,0,0,0,0
Aritzia,1,1,0,2
Armani,0,0,0,0
Asda,1,1,0,2
ASICS,1,1,0,2
ASOS,1,1,0,2
Balenciaga,1,1,1,3
Bally,1,1,0,2
Banana Republic,1,1,0,2
BCBGMAXAZRIA,0,0,0,0
Beanpole,1,1,0,2
Belle,0,0,0,0
Bershka,1,1,0,2
Big Bazaar - ffb,0,0,0,0
Big W,1,1,0,2
Billabong,0,0,0,0
Bloomingdale's,0,0,0,0
Bonprix,1,1,1,3
boohoo,1,1,0,2
Bosideng,0,0,0,0
Bottega Veneta,1,1,1,3
Brooks Sport,0,0,0,0
Brunello Cucinelli,0,1,0,1
Buckle,0,0,0,0
Burberry,1,1,0,2
Burlington,1,1,0,2
C&A,1,1,0,2
Calvin Klein,1,1,0,2
Calzedonia,1,1,0,2
Canada Goose,0,0,0,0
Carhartt,0,0,0,0
Carolina Herrera,0,0,0,0
CAROLL,1,0,0,1
Carrefour ,1,1,0,2
Carter's,1,1,0,2
CELINE,1,1,0,2
celio,0,0,0,0
Champion,1,1,0,2
Chanel,1,1,0,2
Chico's,1,1,0,2
Chloé,1,1,0,2
Claire's,0,0,0,0
Clarks,0,1,0,1
COACH,0,0,0,0
Cole Haan,0,0,0,0
Columbia Sportswear,1,1,0,2
Converse,1,1,0,2
Cortefiel,0,0,0,0
Costco,1,0,0,1
Cotton On,1,0,0,1
Decathlon,0,0,0,0
Deichmann,0,0,0,0
Desigual,0,0,0,0
Dick's Sporting Goods,0,0,0,0
Diesel,0,0,0,0
Dillard's,0,0,0,0
Dior,1,1,0,2
Disney,1,1,0,2
DKNY,0,0,0,0
Dolce & Gabbana,0,0,0,0
Dr. Martens,1,1,0,2
Dressmann,1,1,0,2
DSW,0,0,0,0
Eddie Bauer,0,0,0,0
El Corte Inglés,1,1,0,2
Elie Tahari,0,0,0,0
Ermenegildo Zegna,0,0,0,0
Esprit,1,1,0,2
Express,0,0,0,0
Falabella,1,1,0,2
Famous Footwear,0,0,0,0
Fanatics,0,0,0,0
Fashion Nova,0,0,0,0
Fendi,1,1,0,2
Fila,0,1,0,1
Fjällräven,0,0,0,0
Foot Locker,1,1,0,2
Foschini,1,1,0,2
Fossil,0,0,0,0
Free people,0,0,0,0
Fruit of the Loom,1,1,0,2
Furla,0,0,0,0
Gap,1,1,0,2
Gerry Weber,0,0,0,0
Gildan,1,1,0,2
G-Star RAW,1,1,0,2
GU,1,1,0,2
Gucci,1,1,1,3
