Brand,Discloses the amount spent on CSR and sustainability efforts (including staff) as percentage of overall budget or revenue,Total
Abercrombie & Fitch,0,0
Adidas,0,0
Aeropostale,0,0
AJIO,0,0
ALDI Nord,0,0
ALDI SOUTH,0,0
ALDO,0,0
Amazon,0,0
American Eagle,0,0
ANTA,0,0
Anthropologie,0,0
Aritzia,0,0
Armani,0,0
Asda,0,0
ASICS,0,0
ASOS,0,0
Balenciaga,0,0
Bally,0,0
Banana Republic,0,0
BCBGMAXAZRIA,0,0
Beanpole,2,2
Belle,0,0
Bershka,0,0
Big Bazaar - ffb,0,0
Big W,0,0
Billabong,0,0
Bloomingdale's,0,0
Bonprix,0,0
boohoo,0,0
Bosideng,0,0
Bottega Veneta,0,0
Brooks Sport,0,0
Brunello Cucinelli,0,0
Buckle,0,0
Burberry,0,0
Burlington,0,0
C&A,0,0
Calvin Klein,0,0
Calzedonia,0,0
Canada Goose,0,0
Carhartt,0,0
Carolina Herrera,0,0
CAROLL,0,0
Carrefour ,0,0
Carter's,0,0
CELINE,2,2
celio,0,0
Champion,0,0
Chanel,0,0
Chico's,0,0
Chloé,0,0
Claire's,0,0
Clarks,0,0
COACH,0,0
Cole Haan,0,0
Columbia Sportswear,0,0
Converse,0,0
Cortefiel,0,0
Costco,0,0
Cotton On,0,0
Decathlon,0,0
Deichmann,0,0
Desigual,0,0
Dick's Sporting Goods,0,0
Diesel,0,0
Dillard's,0,0
Dior,2,2
Disney,0,0
DKNY,0,0
Dolce & Gabbana,0,0
Dr. Martens,0,0
Dressmann,0,0
DSW,0,0
Eddie Bauer,0,0
El Corte Inglés,0,0
Elie Tahari,0,0
Ermenegildo Zegna,0,0
Esprit,0,0
Express,0,0
Falabella,0,0
Famous Footwear,0,0
Fanatics,0,0
Fashion Nova,0,0
Fendi,2,2
Fila,0,0
Fjällräven,2,2
Foot Locker,0,0
Foschini,0,0
Fossil,0,0
Free people,0,0
Fruit of the Loom,0,0
Furla,0,0
Gap,0,0
Gerry Weber,0,0
Gildan,0,0
G-Star RAW,0,0
GU,2,2
Gucci,0,0
GUESS,0,0
H&M,0,0
Hanes,0,0
Heilan Home,0,0
Helly Hansen,0,0
HEMA,0,0
Hermès,0,0
Hollister Co.,0,0
Hudson's Bay,0,0
Hugo Boss,0,0
Intimissimi,0,0
Ito-Yokado,0,0
Jack & Jones,0,0
JD Sports,0,0
Jessica Simpson,0,0
Jil Sander,0,0
Jockey,0,0
Joe Fresh,0,0
John Lewis,0,0
Jordan,0,0
Justfab,0,0
Kate Spade,0,0
Kathmandu,0,0
Kaufland,0,0
Kiabi,0,0
KiK,0,0
Kmart ,0,0
Kmart Australia,0,0
Kohl's,0,0
KOOVS,0,0
K-Way,0,0
La Redoute,0,0
Lacoste,0,0
Lands' End,0,0
LC Waikiki,0,0
Levi Strauss & Co,0,0
Lidl,0,0
Lindex,0,0
Li-Ning,0,0
LL Bean,0,0
Longchamp,0,0
Louis Vuitton,2,2
Lululemon,0,0
Macy's,0,0
Mammut,0,0
Mango,0,0
Marc Jacobs,2,2
Marks & Spencer,0,0
Marni,0,0
Massimo Dutti,0,0
Matalan,0,0
Max Mara,0,0
Merrell,0,0
Metersbonwe,0,0
Mexx,0,0
Michael Kors,0,0
Miu Miu,0,0
Mizuno,0,0
Moncler,0,0
Monoprix,0,0
Morrisons,0,0
MRP,0,0
Muji,0,0
New Balance,0,0
New Look,0,0
New Yorker,0,0
Next,0,0
Nike,0,0
Nine West,0,0
Nordstrom,0,0
Old Navy,0,0
Otto,0,0
OVS,2,2
Paris,0,0
Patagonia,0,0
Pepe Jeans,0,0
Pimkie,0,0
Prada,0,0
PrettyLittleThing,0,0
Primark,0,0
Prisma,0,0
Pull&Bear,0,0
Puma,0,0
Quiksilver,0,0
Ralph Lauren,0,0
Reebok,0,0
REI,0,0
Reliance Trends,0,0
Reserved,0,0
REVOLVE,0,0
River Island,0,0
Ross Dress for Less,0,0
Roxy,0,0
Russell Athletic,0,0
s.Oliver,0,0
Sainsbury's,0,0
SAINT LAURENT,0,0
Saks Fifth Avenue,0,0
Salvatore Ferragamo,0,0
Sandro,0,0
Semir,0,0
SHEIN,0,0
Skechers,0,0
Speedo,2,2
Splash,0,0
Sports Direct,0,0
Steve Madden,0,0
Stradivarius,0,0
Superdry,2,2
Takko,0,0
Target,0,0
Target Australia,0,0
Tchibo,0,0
Ted Baker,0,0
Tesco ,0,0
Tezenis,0,0
The Children's Place,0,0
The North Face,0,0
The Warehouse,0,0
Timberland,0,0
TJ Maxx,0,0
Tod's,2,2
Tom Ford,0,0
Tom Tailor,0,0
Tommy Bahama,0,0
Tommy Hilfiger,0,0
Topman,0,0
Topshop,0,0
TOPVALU COLLECTION,0,0
Tory Burch,0,0
Triumph,0,0
Truworths,0,0
UGG,0,0
Under Armour,0,0
Uniqlo,2,2
United Arrows,0,0
United Colors of Benetton,2,2
Urban Outfitters,0,0
Valentino,0,0
Van Heusen,0,0
Vans,0,0
Vero Moda,0,0
Versace,0,0
Very,0,0
Victoria's Secret,0,0
Walmart,0,0
Woolworths South Africa,0,0
Wrangler,0,0
Youngor,0,0
Zalando,0,0
Zara,0,0
Zeeman,0,0
