Brand,"Discloses how employees beyond the CSR/sustainability/ethical trade team (sourcing, production, buyers, designers) incentives (e.g. bonuses; part of employee performance reviews) are tied to improvements in human rights impacts and environmental management","Discloses how executive (e.g. CEO, CFO, president) pay, bonuses and/or performance reviews are tied to improvements in human rights impacts and environmental management","Description of how suppliers incentives are tied to improvement in good labour practices and environmental management (e.g. long-term commitments to purchase, longer contracts, increased orders, price premiums, fewer audits)",Total
Abercrombie & Fitch,0,0,2,2
Adidas,2,0,2,4
Aeropostale,0,0,0,0
AJIO,0,0,0,0
ALDI Nord,0,0,2,2
ALDI SOUTH,0,0,2,2
ALDO,0,0,0,0
Amazon,0,0,0,0
American Eagle,0,0,2,2
ANTA,0,0,0,0
Anthropologie,0,2,0,2
Aritzia,2,0,2,4
Armani,0,0,0,0
Asda,0,2,2,4
ASICS,2,2,0,4
ASOS,0,0,2,2
Balenciaga,2,2,2,6
Bally,0,0,0,0
Banana Republic,0,0,2,2
BCBGMAXAZRIA,0,0,0,0
Beanpole,0,0,0,0
Belle,0,0,0,0
Bershka,2,2,0,4
Big Bazaar - ffb,0,0,0,0
Big W,0,0,0,0
Billabong,0,0,0,0
Bloomingdale's,0,0,0,0
Bonprix,0,2,0,2
boohoo,2,0,0,2
Bosideng,0,0,0,0
Bottega Veneta,2,2,2,6
Brooks Sport,0,0,2,2
Brunello Cucinelli,0,0,0,0
Buckle,0,0,0,0
Burberry,0,2,2,4
Burlington,0,0,0,0
C&A,2,2,2,6
Calvin Klein,0,0,2,2
Calzedonia,0,0,0,0
Canada Goose,0,0,0,0
Carhartt,0,0,0,0
Carolina Herrera,0,0,0,0
CAROLL,0,0,0,0
Carrefour ,0,2,0,2
Carter's,0,0,0,0
CELINE,0,2,2,4
celio,0,0,0,0
Champion,2,2,2,6
Chanel,0,0,0,0
Chico's,0,0,0,0
Chloé,2,2,0,4
Claire's,0,0,0,0
Clarks,0,0,2,2
COACH,0,0,2,2
Cole Haan,0,0,0,0
Columbia Sportswear,0,0,2,2
Converse,2,0,2,4
Cortefiel,0,0,0,0
Costco,0,0,2,2
Cotton On,0,0,0,0
Decathlon,2,0,0,2
Deichmann,0,0,0,0
Desigual,0,0,0,0
Dick's Sporting Goods,0,0,2,2
Diesel,0,0,0,0
Dillard's,0,0,0,0
Dior,0,2,2,4
Disney,0,0,0,0
DKNY,0,0,0,0
Dolce & Gabbana,0,0,0,0
Dr. Martens,0,0,0,0
Dressmann,0,2,2,4
DSW,0,0,0,0
Eddie Bauer,0,0,0,0
El Corte Inglés,0,0,0,0
Elie Tahari,0,0,0,0
Ermenegildo Zegna,0,0,0,0
Esprit,2,0,2,4
Express,0,0,2,2
Falabella,0,0,2,2
Famous Footwear,0,0,0,0
Fanatics,0,0,0,0
Fashion Nova,0,0,0,0
Fendi,0,2,2,4
Fila,0,0,0,0
Fjällräven,0,2,2,4
Foot Locker,0,0,0,0
Foschini,0,0,0,0
Fossil,0,0,0,0
Free people,0,2,0,2
Fruit of the Loom,0,0,0,0
Furla,0,0,0,0
Gap,0,0,2,2
Gerry Weber,0,0,0,0
Gildan,2,0,2,4
G-Star RAW,2,0,2,4
GU,0,0,0,0
Gucci,2,2,2,6
GUESS,0,0,0,0
H&M,2,2,2,6
Hanes,2,2,2,6
Heilan Home,0,0,0,0
Helly Hansen,0,0,0,0
HEMA,0,0,0,0
Hermès,2,2,0,4
Hollister Co.,0,0,2,2
Hudson's Bay,0,0,0,0
Hugo Boss,2,2,2,6
Intimissimi,0,0,0,0
Ito-Yokado,0,0,0,0
Jack & Jones,0,0,2,2
JD Sports,0,2,0,2
Jessica Simpson,0,0,0,0
Jil Sander,0,0,0,0
Jockey,0,0,0,0
Joe Fresh,0,0,0,0
John Lewis,0,0,0,0
Jordan,2,0,2,4
Justfab,0,0,0,0
Kate Spade,0,0,2,2
Kathmandu,0,0,0,0
Kaufland,0,0,0,0
Kiabi,0,0,2,2
KiK,0,0,2,2
Kmart ,0,0,2,2
Kmart Australia,0,2,2,4
Kohl's,0,0,2,2
KOOVS,0,0,0,0
K-Way,0,0,0,0
La Redoute,0,0,0,0
Lacoste,0,0,0,0
Lands' End,0,0,2,2
LC Waikiki,0,0,0,0
Levi Strauss & Co,2,2,2,6
Lidl,0,0,0,0
Lindex,0,0,2,2
Li-Ning,0,0,0,0
LL Bean,0,0,0,0
Longchamp,0,0,0,0
Louis Vuitton,0,2,2,4
Lululemon,0,0,2,2
Macy's,0,0,0,0
Mammut,0,0,0,0
Mango,0,0,0,0
Marc Jacobs,0,2,2,4
Marks & Spencer,2,2,0,4
Marni,0,0,0,0
Massimo Dutti,2,2,0,4
Matalan,0,0,0,0
Max Mara,0,0,0,0
Merrell,0,0,0,0
Metersbonwe,0,0,0,0
Mexx,0,0,0,0
Michael Kors,0,0,0,0
Miu Miu,0,0,0,0
Mizuno,0,0,0,0
Moncler,0,0,0,0
Monoprix,2,2,0,4
Morrisons,0,0,0,0
MRP,2,0,0,2
Muji,0,0,0,0
New Balance,2,0,2,4
New Look,2,0,2,4
New Yorker,0,0,0,0
Next,0,0,0,0
Nike,2,0,2,4
Nine West,0,0,0,0
Nordstrom,0,0,0,0
Old Navy,0,0,2,2
Otto,0,2,0,2
OVS,0,2,2,4
Paris,0,0,0,0
Patagonia,2,0,2,4
Pepe Jeans,0,0,0,0
Pimkie,0,0,2,2
Prada,0,0,0,0
PrettyLittleThing,2,0,0,2
Primark,0,2,2,4
Prisma,0,0,2,2
Pull&Bear,2,2,0,4
Puma,2,2,2,6
Quiksilver,0,0,0,0
Ralph Lauren,0,0,2,2
Reebok,2,0,2,4
REI,0,0,0,0
Reliance Trends,0,0,0,0
Reserved,0,0,0,0
REVOLVE,0,0,0,0
River Island,0,0,2,2
Ross Dress for Less,0,0,0,0
Roxy,0,0,0,0
Russell Athletic,0,0,0,0
s.Oliver,0,0,0,0
Sainsbury's,2,2,2,6
SAINT LAURENT,2,2,2,6
Saks Fifth Avenue,0,0,0,0
Salvatore Ferragamo,2,2,0,4
Sandro,0,0,0,0
Semir,0,0,0,0
SHEIN,0,0,0,0
Skechers,0,0,0,0
Speedo,2,0,2,4
Splash,0,0,0,0
Sports Direct,0,0,0,0
Steve Madden,0,0,0,0
Stradivarius,2,2,0,4
Superdry,0,0,2,2
Takko,0,0,0,0
Target,0,0,0,0
Target Australia,0,2,2,4
Tchibo,2,0,2,4
Ted Baker,0,0,0,0
Tesco ,0,0,2,2
Tezenis,0,0,0,0
The Children's Place,0,0,0,0
The North Face,0,2,2,4
The Warehouse,0,0,0,0
Timberland,0,2,2,4
TJ Maxx,0,0,0,0
Tod's,0,0,0,0
Tom Ford,0,0,0,0
Tom Tailor,0,0,2,2
Tommy Bahama,0,0,0,0
Tommy Hilfiger,0,0,2,2
Topman,0,0,0,0
Topshop,0,0,0,0
TOPVALU COLLECTION,0,0,0,0
Tory Burch,0,0,0,0
Triumph,0,0,0,0
Truworths,0,0,0,0
UGG,0,0,0,0
Under Armour,0,2,0,2
Uniqlo,0,0,0,0
United Arrows,0,0,0,0
United Colors of Benetton,0,0,0,0
Urban Outfitters,0,2,0,2
Valentino,0,0,0,0
Van Heusen,0,0,2,2
Vans,0,2,2,4
Vero Moda,0,0,2,2
Versace,0,0,0,0
Very,0,0,0,0
Victoria's Secret,0,0,2,2
Walmart,0,2,2,4
Woolworths South Africa,2,2,0,4
Wrangler,0,0,0,0
Youngor,0,0,0,0
Zalando,0,0,2,2
Zara,2,2,0,4
Zeeman,2,0,0,2
