Brand,Name of Facility,"Name of Parent Company (for each facility, if applicable)",Address,Type of products or services,Approximate number of workers at each site,If facility has trade union,If the facility has an independent worker committee,Sex-disaggregated breakdown of workers at each site,% or number of migrant or contract workers,"What certifications, if any, the facility has",List is publicly available as a csv or Excel spreadsheet in order to make this information easy to use for trade unions and NGOs ,Discloses what percentage of processing facilities is published,If list/map covers at least 95% of the processing factories in its supply chain,Publishes that this list or map of processing facilities has been updated within the past 6 months,Total
Abercrombie & Fitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adidas,3,3,3,2,2,0,0,0,0,0,3,0,0,1,17
Aeropostale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDI Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDI SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Eagle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthropologie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aritzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asda,3,0,3,2,2,0,0,1,0,0,0,0,0,0,11
ASICS,3,3,3,2,2,0,0,1,1,0,3,0,0,1,19
ASOS,3,0,3,2,2,0,0,1,1,0,3,1,2,1,19
Balenciaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bally,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banana Republic,3,0,3,2,2,0,0,0,0,0,3,1,0,1,15
BCBGMAXAZRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beanpole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bershka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Bazaar - ffb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billabong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomingdale's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonprix,3,3,3,2,2,0,0,0,0,1,0,0,0,0,14
boohoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosideng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottega Veneta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks Sport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunello Cucinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buckle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C&A,3,3,3,2,2,2,0,1,1,0,3,1,2,1,24
Calvin Klein,3,3,3,2,2,0,0,0,0,0,3,0,0,1,17
Calzedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada Goose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carhartt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carolina Herrera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAROLL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrefour ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
celio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champion,3,3,3,2,2,0,0,0,0,0,0,0,0,1,14
Chanel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chico's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claire's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarks,3,3,3,2,2,0,0,1,0,0,3,1,2,0,20
COACH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Haan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia Sportswear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Converse,3,3,3,2,2,0,0,1,1,0,3,1,2,1,22
Cortefiel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotton On,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decathlon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deichmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desigual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick's Sporting Goods,3,3,3,2,2,0,0,1,0,0,0,0,0,1,15
Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillard's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disney,3,0,3,0,0,0,0,0,0,0,0,0,0,1,7
DKNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolce & Gabbana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr. Martens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dressmann,3,3,3,2,2,0,0,1,0,0,3,1,0,1,19
DSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Bauer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
