Brand,Name of supplier (e.g. parent company),Name of specific facility or farm,Address,"Type of raw material, products or services",Approximate number of workers,Sex-disaggregated breakdown of workers,% or number of migrant or contract workers,List is publicly available as a csv or Excel spreadsheet in order to make this information easy to use for trade unions and NGOs ,Discloses what percentage of raw materials suppliers is published,Discloses supplier list that covers more than one raw material type,Publishes that this list or map of raw materials suppliers has been updated within the past 12 months,"Discloses whether the company is tracing the source/supplier of one or more specific raw materials (e.g. part of Leather Working Group or using Responsible Down/Wool Standard, Global Recycling Standard, Content Claim Standard, Organic Cotton Standard, GOTS, FAIRTRADE Certified Cotton Mark and Cotton Programme, Cotton Made in Africa HIP, Oeko-Tex SteP/Made in Green or company/parent group's own initiatives such as using blockchain or transaction certifications or DNA schemes.",Total
Abercrombie & Fitch,0,0,0,0,0,0,0,0,0,0,0,1,1
Adidas,0,0,0,0,0,0,0,0,0,0,0,1,1
Aeropostale,0,0,0,0,0,0,0,0,0,0,0,0,0
AJIO,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDI Nord,0,0,0,0,0,0,0,0,0,0,0,1,1
ALDI SOUTH,0,0,0,0,0,0,0,0,0,0,0,1,1
ALDO,0,0,0,0,0,0,0,0,0,0,0,1,1
Amazon,0,0,0,0,0,0,0,0,0,0,0,1,1
American Eagle,0,0,0,0,0,0,0,0,0,0,0,1,1
ANTA,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthropologie,0,0,0,0,0,0,0,0,0,0,0,0,0
Aritzia,0,0,0,0,0,0,0,0,0,0,0,1,1
Armani,0,0,0,0,0,0,0,0,0,0,0,0,0
Asda,0,0,0,0,0,0,0,0,0,0,0,1,1
ASICS,0,0,0,0,0,0,0,0,0,0,0,1,1
ASOS,3,0,0,2,0,0,0,0,0,1,1,1,8
Balenciaga,3,0,0,2,0,0,0,0,1,0,1,1,8
Bally,0,0,0,0,0,0,0,0,0,0,0,0,0
Banana Republic,0,0,0,0,0,0,0,0,0,0,0,1,1
BCBGMAXAZRIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Beanpole,0,0,0,0,0,0,0,0,0,0,0,1,1
Belle,0,0,0,0,0,0,0,0,0,0,0,0,0
Bershka,0,0,0,0,0,0,0,0,0,0,0,1,1
Big Bazaar - ffb,0,0,0,0,0,0,0,0,0,0,0,0,0
Big W,0,0,0,0,0,0,0,0,0,0,0,0,0
Billabong,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomingdale's,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonprix,0,0,0,0,0,0,0,0,0,0,0,1,1
boohoo,0,0,0,0,0,0,0,0,0,0,0,1,1
Bosideng,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottega Veneta,3,0,0,2,0,0,0,0,1,0,1,1,8
Brooks Sport,0,0,0,0,0,0,0,0,0,0,0,1,1
Brunello Cucinelli,0,0,0,0,0,0,0,0,0,0,0,0,0
Buckle,0,0,0,0,0,0,0,0,0,0,0,0,0
Burberry,0,0,0,0,0,0,0,0,0,0,0,1,1
Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0
C&A,3,3,3,2,0,0,0,0,1,0,1,1,14
Calvin Klein,3,3,3,0,2,0,0,3,0,0,1,1,16
Calzedonia,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada Goose,0,0,0,0,0,0,0,0,0,0,0,1,1
Carhartt,0,0,0,0,0,0,0,0,0,0,0,0,0
Carolina Herrera,0,0,0,0,0,0,0,0,0,0,0,0,0
CAROLL,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrefour ,0,0,0,0,0,0,0,0,0,0,0,1,1
Carter's,0,0,0,0,0,0,0,0,0,0,0,1,1
CELINE,0,0,0,0,0,0,0,0,0,0,0,1,1
celio,0,0,0,0,0,0,0,0,0,0,0,0,0
Champion,0,0,0,0,0,0,0,0,0,0,0,1,1
Chanel,0,0,0,0,0,0,0,0,0,0,0,0,0
Chico's,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloé,0,0,0,0,0,0,0,0,0,0,0,1,1
Claire's,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarks,0,0,0,0,0,0,0,0,0,0,0,1,1
COACH,3,0,0,2,0,0,0,0,0,1,0,1,7
Cole Haan,0,0,0,0,0,0,0,0,0,0,0,1,1
Columbia Sportswear,0,0,0,0,0,0,0,0,0,0,0,1,1
Converse,0,0,0,0,0,0,0,0,0,0,0,1,1
Cortefiel,0,0,0,0,0,0,0,0,0,0,0,1,1
Costco,0,0,0,0,0,0,0,0,0,0,0,1,1
Cotton On,0,0,0,0,0,0,0,0,0,0,0,0,0
Decathlon,0,0,0,0,0,0,0,0,0,0,0,1,1
Deichmann,0,0,0,0,0,0,0,0,0,0,0,0,0
Desigual,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick's Sporting Goods,0,0,0,0,0,0,0,0,0,0,0,1,1
Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillard's,0,0,0,0,0,0,0,0,0,0,0,0,0
Dior,0,0,0,0,0,0,0,0,0,0,0,1,1
Disney,0,0,0,0,0,0,0,0,0,0,0,0,0
DKNY,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolce & Gabbana,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr. Martens,0,0,0,0,0,0,0,0,0,0,0,1,1
Dressmann,0,0,0,0,0,0,0,0,0,0,0,1,1
DSW,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Bauer,0,0,0,0,0,0,0,0,0,0,0,0,0
El Corte Inglés,0,0,0,0,0,0,0,0,0,0,0,1,1
Elie Tahari,0,0,0,0,0,0,0,0,0,0,0,0,0
Ermenegildo Zegna,3,3,3,2,2,1,1,0,0,1,1,1,18
Esprit,3,3,3,2,2,0,0,3,1,1,1,1,20
Express,0,0,0,0,0,0,0,0,0,0,0,0,0
Falabella,0,0,0,0,0,0,0,0,0,0,0,0,0
Famous Footwear,0,0,0,0,0,0,0,0,0,0,0,1,1
Fanatics,0,0,0,0,0,0,0,0,0,0,0,0,0
Fashion Nova,0,0,0,0,0,0,0,0,0,0,0,0,0
Fendi,3,0,3,2,2,0,0,3,0,0,1,1,15
Fila,0,0,0,0,0,0,0,0,0,0,0,0,0
Fjällräven,0,0,0,0,0,0,0,0,0,0,0,1,1
Foot Locker,0,0,0,0,0,0,0,0,0,0,0,0,0
Foschini,0,0,0,0,0,0,0,0,0,0,0,0,0
Fossil,0,0,0,0,0,0,0,0,0,0,0,1,1
Free people,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruit of the Loom,0,0,0,0,0,0,0,0,0,0,0,0,0
Furla,0,0,0,0,0,0,0,0,0,0,0,0,0
Gap,0,0,0,0,0,0,0,0,0,0,0,1,1
Gerry Weber,0,0,0,0,0,0,0,0,0,0,0,1,1
Gildan,3,3,3,2,2,1,1,3,1,0,1,1,21
G-Star RAW,0,0,0,0,0,0,0,0,0,0,0,1,1
GU,0,0,0,0,0,0,0,0,0,0,0,1,1
Gucci,0,0,0,2,0,0,0,0,0,0,1,1,4
GUESS,0,0,0,0,0,0,0,0,0,0,0,0,0
