Brand,"Discloses how the company works to identify human rights and environmental risks, impacts and violations in its supply chain (its approach to conducting due diligence) ","Discloses how worker/producer/farmer representatives, unions and other affected stakeholders are involved in the due diligence process","Discloses how women workers, women's organisations, women human rights defenders and gender experts in all stages of human rights due diligence","Discloses the salient human rights and environmental risks, impacts and violations identified","Discloses evidence of steps taken to cease, prevent, mitigate and remedy human rights and environmental risks, impacts and violations identified ","Discloses the outcomes or results of steps taken to cease, prevent, mitigate and remedy human rights and environmental risks, impacts and violations identified ",Total
Abercrombie & Fitch,0,0,0,0,0,0,0
Adidas,1,1,0,1,1,1,5
Aeropostale,0,0,0,0,0,0,0
AJIO,1,0,0,0,0,0,1
ALDI Nord,1,0,0,0,1,0,2
ALDI SOUTH,1,1,0,1,1,1,4
ALDO,1,0,0,0,0,0,1
Amazon,1,0,0,1,0,0,2
American Eagle,0,0,0,0,0,0,0
ANTA,0,0,0,0,0,0,0
Anthropologie,0,0,0,0,0,0,0
Aritzia,1,1,0,0,1,1,3
Armani,1,0,0,0,0,0,1
Asda,1,0,0,1,1,0,3
ASICS,1,0,0,1,1,0,3
ASOS,1,1,1,1,1,1,5
Balenciaga,1,1,1,1,1,1,5
Bally,0,0,0,0,0,0,0
Banana Republic,1,1,1,1,1,1,5
BCBGMAXAZRIA,0,0,0,0,0,0,0
Beanpole,0,0,0,0,0,0,0
Belle,0,0,0,0,0,0,0
Bershka,0,0,0,0,0,0,0
Big Bazaar - ffb,0,0,0,0,0,0,0
Big W,1,0,0,1,1,1,3
Billabong,0,0,0,0,0,0,0
Bloomingdale's,0,0,0,0,0,0,0
Bonprix,1,0,0,0,0,0,1
boohoo,0,0,0,0,0,0,0
Bosideng,0,0,0,0,0,0,0
Bottega Veneta,1,1,1,1,1,1,5
Brooks Sport,0,0,0,0,0,0,0
Brunello Cucinelli,0,0,0,0,0,0,0
Buckle,0,0,0,0,0,0,0
Burberry,1,1,0,1,1,1,4
Burlington,0,0,0,0,0,0,0
C&A,1,1,0,1,1,1,5
Calvin Klein,1,1,1,1,1,1,5
Calzedonia,0,0,0,0,0,0,0
Canada Goose,0,0,0,0,0,0,0
Carhartt,0,0,0,0,0,0,0
Carolina Herrera,0,0,0,0,0,0,0
CAROLL,1,0,0,0,0,0,1
Carrefour ,1,1,0,1,1,1,4
Carter's,0,0,0,0,0,0,0
CELINE,1,0,0,1,0,0,2
celio,0,0,0,0,0,0,0
Champion,1,0,0,0,0,0,1
Chanel,1,0,0,0,0,0,1
Chico's,1,0,0,0,0,0,1
Chloé,0,0,0,0,0,0,0
Claire's,0,0,0,0,0,0,0
Clarks,0,0,0,0,0,0,0
COACH,1,0,0,1,1,0,3
Cole Haan,0,0,0,0,0,0,0
Columbia Sportswear,0,0,0,0,0,0,0
Converse,1,0,0,1,1,1,3
Cortefiel,0,0,0,0,0,0,0
Costco,0,0,0,0,0,0,0
Cotton On,0,0,0,0,0,0,0
Decathlon,1,0,0,0,1,1,3
Deichmann,0,0,0,0,0,0,0
Desigual,1,0,0,0,0,0,1
Dick's Sporting Goods,0,0,0,0,0,0,0
Diesel,0,0,0,0,0,0,0
Dillard's,0,0,0,0,0,0,0
Dior,1,0,0,1,0,0,2
Disney,0,0,0,0,0,0,0
DKNY,0,0,0,0,0,0,0
Dolce & Gabbana,0,0,0,0,0,0,0
Dr. Martens,0,0,0,0,0,0,0
Dressmann,1,1,1,1,1,1,5
DSW,0,0,0,0,0,0,0
Eddie Bauer,0,0,0,0,0,0,0
El Corte Inglés,0,0,0,0,0,0,0
Elie Tahari,0,0,0,0,0,0,0
Ermenegildo Zegna,0,0,0,0,0,0,0
Esprit,0,0,0,0,0,0,0
Express,0,0,0,0,0,0,0
Falabella,0,0,0,0,0,0,0
Famous Footwear,0,0,0,0,0,0,0
Fanatics,0,0,0,0,0,0,0
Fashion Nova,0,0,0,0,0,0,0
Fendi,1,0,0,1,0,0,2
Fila,0,0,0,0,0,0,0
Fjällräven,1,1,0,0,0,0,2
Foot Locker,0,0,0,0,0,0,0
Foschini,0,0,0,0,0,0,0
Fossil,0,0,0,0,0,0,0
Free people,0,0,0,0,0,0,0
Fruit of the Loom,1,0,0,0,0,0,1
Furla,0,0,0,0,0,0,0
Gap,1,1,1,1,1,1,5
Gerry Weber,0,0,0,0,0,0,0
Gildan,1,1,0,1,1,1,4
G-Star RAW,1,0,0,1,0,0,2
GU,1,1,1,1,1,0,5
Gucci,1,1,1,1,1,1,6
GUESS,0,0,0,0,0,0,0
H&M,1,1,0,1,1,1,4
Hanes,1,0,0,0,0,0,1
Heilan Home,0,0,0,0,0,0,0
Helly Hansen,1,1,0,1,1,0,4
HEMA,0,0,0,0,0,0,0
Hermès,1,1,0,1,1,1,4
Hollister Co.,0,0,0,0,0,0,0
Hudson's Bay,0,0,0,0,0,0,0
Hugo Boss,0,0,0,0,0,0,0
Intimissimi,0,0,0,0,0,0,0
Ito-Yokado,0,0,0,0,0,0,0
Jack & Jones,0,0,0,0,0,0,0
JD Sports,1,0,0,1,1,1,3
Jessica Simpson,0,0,0,0,0,0,0
Jil Sander,0,0,0,0,0,0,0
Jockey,0,0,0,0,0,0,0
Joe Fresh,0,0,0,0,0,0,0
John Lewis,0,0,0,0,0,0,0
Jordan,1,0,0,1,1,1,3
Justfab,0,0,0,0,0,0,0
Kate Spade,1,0,0,1,1,0,3
Kathmandu,0,0,0,0,0,0,0
Kaufland,0,0,0,0,0,0,0
Kiabi,1,0,0,1,1,0,3
KiK,1,0,0,0,0,0,1
Kmart ,0,0,0,0,0,0,0
Kmart Australia,1,1,1,0,0,0,3
Kohl's,1,0,0,0,0,0,1
KOOVS,0,0,0,0,0,0,0
K-Way,0,0,0,0,0,0,0
La Redoute,0,0,0,0,0,0,0
Lacoste,0,0,0,0,0,0,0
Lands' End,0,0,0,0,0,0,0
LC Waikiki,0,0,0,0,0,0,0
Levi Strauss & Co,1,1,0,1,1,1,4
Lidl,1,1,0,1,1,1,4
Lindex,1,1,1,1,0,0,4
Li-Ning,0,0,0,0,0,0,0
LL Bean,0,0,0,0,0,0,0
Longchamp,0,0,0,0,0,0,0
Louis Vuitton,1,0,0,1,0,0,2
Lululemon,0,0,0,0,0,0,0
Macy's,0,0,0,0,0,0,0
Mammut,0,0,0,0,0,0,0
Mango,0,0,0,0,0,0,0
Marc Jacobs,1,0,0,1,0,0,2
Marks & Spencer,1,1,0,1,1,1,4
Marni,0,0,0,0,0,0,0
Massimo Dutti,0,0,0,0,0,0,0
Matalan,0,0,0,0,0,0,0
Max Mara,0,0,0,0,0,0,0
Merrell,0,0,0,0,0,0,0
Metersbonwe,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0
Michael Kors,0,0,0,0,0,0,0
Miu Miu,0,0,0,0,0,0,0
Mizuno,0,0,0,0,0,0,0
Moncler,1,0,0,1,0,0,2
Monoprix,0,0,0,0,0,0,0
Morrisons,1,1,1,1,1,0,5
MRP,0,0,0,0,0,0,0
Muji,1,1,0,1,1,0,4
New Balance,1,1,0,1,1,1,4
New Look,0,0,0,0,0,0,0
New Yorker,0,0,0,0,0,0,0
Next,1,1,0,1,1,1,4
Nike,1,0,0,1,1,1,3
Nine West,0,0,0,0,0,0,0
Nordstrom,1,0,0,0,0,0,1
Old Navy,1,1,1,1,1,1,5
Otto,1,0,0,0,0,0,1
OVS,1,1,0,1,1,1,4
Paris,0,0,0,0,0,0,0
Patagonia,1,1,0,1,1,0,4
Pepe Jeans,0,0,0,0,0,0,0
Pimkie,0,0,0,0,0,0,0
Prada,0,0,0,0,0,0,0
PrettyLittleThing,0,0,0,0,0,0,0
Primark,1,1,1,0,1,1,4
Prisma,0,0,0,0,0,0,0
Pull&Bear,0,0,0,0,0,0,0
Puma,1,1,0,1,1,0,4
Quiksilver,0,0,0,0,0,0,0
Ralph Lauren,1,0,0,1,1,1,4
Reebok,1,1,0,1,1,1,5
REI,0,0,0,0,0,0,0
Reliance Trends,1,0,0,0,0,0,1
Reserved,0,0,0,0,0,0,0
REVOLVE,0,0,0,0,0,0,0
River Island,0,0,0,0,0,0,0
Ross Dress for Less,0,0,0,0,0,0,0
Roxy,0,0,0,0,0,0,0
Russell Athletic,1,0,0,0,0,0,1
s.Oliver,0,0,0,0,0,0,0
Sainsbury's,1,0,0,1,1,1,3
SAINT LAURENT,1,1,1,1,1,1,5
Saks Fifth Avenue,0,0,0,0,0,0,0
Salvatore Ferragamo,1,1,0,1,1,1,4
Sandro,0,0,0,0,0,0,0
Semir,0,0,0,0,0,0,0
SHEIN,0,0,0,0,0,0,0
Skechers,0,0,0,0,0,0,0
Speedo,1,0,1,0,1,1,3
Splash,0,0,0,0,0,0,0
Sports Direct,0,0,0,0,0,0,0
Steve Madden,1,1,1,1,0,0,4
Stradivarius,0,0,0,0,0,0,0
Superdry,0,0,0,0,0,0,0
Takko,0,0,0,0,0,0,0
Target,1,1,1,0,0,0,3
