Brand,Publishes description of how the facility audit process works,Discloses criteria for taking on new facilities before production commences to ensure the facility meets policies and standards,"Discloses % of audits that are announced, semi-announced or unannounced","Discloses % of facilities beyond tier 1 (e.g. tier 2/3/4 by which we mean processing facilities, textile mills, laundries and dye houses, suppliers of raw materials, farms) which are audited",Discloses number or % of workers interviewed offsite as part of audits,% of audits which included a trade union representative,Total
Abercrombie & Fitch,1,1,1,0,0,0,3
Adidas,1,1,0,0,0,0,2
Aeropostale,1,1,0,0,0,0,2
AJIO,0,0,0,0,0,0,0
ALDI Nord,1,1,0,1,0,0,3
ALDI SOUTH,1,1,0,1,0,0,3
ALDO,1,1,1,0,0,0,3
Amazon,1,1,0,1,1,0,4
American Eagle,1,1,0,0,0,0,2
ANTA,1,1,0,0,0,0,2
Anthropologie,1,1,1,0,0,0,3
Aritzia,1,1,1,0,0,0,3
Armani,1,0,0,1,0,0,2
Asda,1,1,0,1,0,0,3
ASICS,1,1,0,1,0,0,3
ASOS,1,1,1,1,0,0,4
Balenciaga,1,1,0,1,0,0,3
Bally,0,0,0,0,0,0,0
Banana Republic,1,1,1,1,1,0,5
BCBGMAXAZRIA,1,1,0,0,0,0,2
Beanpole,0,0,0,0,0,0,0
Belle,0,0,0,0,0,0,0
Bershka,1,1,1,0,0,0,3
Big Bazaar - ffb,0,0,0,0,0,0,0
Big W,1,1,0,0,0,0,2
Billabong,0,0,0,0,0,0,0
Bloomingdale's,1,1,1,0,0,0,3
Bonprix,1,1,1,0,0,0,3
boohoo,1,0,1,0,0,0,2
Bosideng,1,0,0,0,0,0,1
Bottega Veneta,1,1,0,1,0,0,3
Brooks Sport,1,1,1,1,0,0,4
Brunello Cucinelli,1,0,0,0,0,0,1
Buckle,1,0,0,0,0,0,1
Burberry,1,1,0,1,1,0,4
Burlington,1,0,0,0,0,0,1
C&A,1,1,1,0,0,0,3
Calvin Klein,1,1,1,1,0,0,4
Calzedonia,0,0,0,0,0,0,0
Canada Goose,1,1,0,0,0,0,2
Carhartt,1,0,0,0,0,0,1
Carolina Herrera,1,1,0,0,0,0,2
CAROLL,1,1,0,0,0,0,2
Carrefour ,1,1,0,0,0,0,2
Carter's,1,1,0,0,0,0,2
CELINE,1,0,0,1,0,0,2
celio,0,0,0,0,0,0,0
Champion,1,1,0,0,0,0,2
Chanel,1,0,0,0,0,0,1
Chico's,1,0,0,0,0,0,1
Chloé,1,1,0,1,0,0,3
Claire's,1,0,0,0,0,0,1
Clarks,1,1,0,1,0,0,3
COACH,1,0,0,0,0,0,1
Cole Haan,1,1,0,0,0,0,2
Columbia Sportswear,1,1,1,0,0,0,3
Converse,1,1,0,0,0,0,2
Cortefiel,1,1,0,0,0,0,2
Costco,1,0,0,0,0,0,1
Cotton On,1,1,0,0,0,0,2
Decathlon,1,1,0,0,0,0,2
Deichmann,0,0,0,0,0,0,0
Desigual,1,1,0,0,0,0,2
Dick's Sporting Goods,1,1,0,0,0,0,2
Diesel,0,0,0,0,0,0,0
Dillard's,1,1,0,0,0,0,2
Dior,1,0,0,1,0,0,2
Disney,1,1,0,0,0,0,2
DKNY,1,0,0,0,0,0,1
Dolce & Gabbana,0,0,0,0,0,0,0
Dr. Martens,1,1,0,0,0,0,2
Dressmann,1,1,1,1,0,0,4
DSW,1,1,0,0,0,0,2
Eddie Bauer,0,1,0,0,0,0,1
El Corte Inglés,1,1,1,0,0,0,3
Elie Tahari,0,0,0,0,0,0,0
Ermenegildo Zegna,1,0,1,0,0,0,2
Esprit,1,1,1,1,0,0,4
Express,1,1,0,0,0,0,2
Falabella,1,1,0,0,0,0,2
Famous Footwear,0,1,0,0,0,0,1
Fanatics,1,1,0,0,0,0,2
Fashion Nova,0,0,0,0,0,0,0
Fendi,1,0,1,1,0,0,3
Fila,0,0,0,0,0,0,0
Fjällräven,1,1,0,1,0,0,3
Foot Locker,1,0,0,0,0,0,1
Foschini,1,1,0,0,0,0,2
Fossil,1,0,0,0,0,0,1
Free people,1,1,1,0,0,0,3
Fruit of the Loom,1,1,0,0,0,0,2
Furla,0,0,0,0,0,0,0
Gap,1,1,1,1,1,0,5
Gerry Weber,0,1,0,0,0,0,1
Gildan,1,1,0,0,0,0,2
G-Star RAW,1,1,0,1,0,0,3
GU,1,1,0,1,0,0,3
Gucci,1,1,0,1,0,0,3
GUESS,1,1,0,0,0,0,2
H&M,1,1,0,0,0,1,3
Hanes,1,1,0,0,0,0,2
Heilan Home,0,0,0,0,0,0,0
Helly Hansen,1,1,0,0,0,0,2
HEMA,1,1,0,0,0,0,2
Hermès,1,1,0,1,0,0,3
Hollister Co.,1,1,1,0,0,0,3
Hudson's Bay,1,1,0,0,0,0,2
Hugo Boss,1,1,0,1,0,0,3
Intimissimi,0,0,0,0,0,0,0
Ito-Yokado,1,0,0,0,0,0,1
Jack & Jones,1,1,0,0,0,0,2
JD Sports,1,1,1,0,0,0,3
Jessica Simpson,0,0,0,0,0,0,0
Jil Sander,1,1,0,0,0,0,2
Jockey,1,0,0,0,0,0,1
Joe Fresh,1,0,0,0,0,0,1
John Lewis,1,0,0,0,0,0,1
Jordan,1,1,0,0,0,0,2
Justfab,1,0,0,0,0,0,1
Kate Spade,1,0,0,0,0,0,1
Kathmandu,1,1,0,0,0,0,2
Kaufland,1,0,0,0,0,0,1
Kiabi,1,1,1,0,0,0,3
KiK,1,1,1,1,0,0,4
Kmart ,1,1,0,0,0,0,2
Kmart Australia,1,1,1,1,0,0,4
Kohl's,1,0,1,0,0,0,2
KOOVS,0,0,0,0,0,0,0
K-Way,0,0,0,0,0,0,0
La Redoute,1,1,1,0,0,0,3
Lacoste,1,1,0,1,1,1,5
Lands' End,1,1,0,0,0,0,2
LC Waikiki,0,0,0,0,0,0,0
Levi Strauss & Co,1,1,0,0,0,0,2
Lidl,1,1,1,0,0,0,3
Lindex,1,1,0,0,0,0,2
Li-Ning,1,1,0,1,0,0,3
LL Bean,0,0,0,0,0,0,0
Longchamp,0,0,0,0,0,0,0
Louis Vuitton,1,0,0,1,0,0,2
Lululemon,1,1,1,1,0,0,4
Macy's,1,1,1,0,0,0,3
Mammut,1,1,0,1,0,0,3
Mango,1,1,1,0,0,0,3
Marc Jacobs,1,0,0,1,0,0,2
Marks & Spencer,1,1,1,0,0,0,3
Marni,0,0,0,0,0,0,0
Massimo Dutti,1,1,1,0,0,0,3
Matalan,1,1,1,0,0,0,3
Max Mara,0,0,0,0,0,0,0
Merrell,1,1,0,0,0,0,2
Metersbonwe,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0
Michael Kors,1,1,1,1,0,0,4
Miu Miu,1,1,0,0,0,0,2
Mizuno,1,1,0,1,0,0,3
Moncler,1,0,0,0,0,0,1
