Brand,Summary of assessment findings or aggregate facility rating without naming individual facilities - At tier 1 level,Summary of assessment findings or aggregate facility rating without naming individual facilities - Beyond tier 1,Summary of assessment findings or aggregate facility rating without naming individual facilities - Raw material level,Facility-level rating by named facility  - At tier 1 level,Facility-level rating by named facility  - Beyond tier 1,Facility-level rating by named facility  - Raw material level,Selected audit findings/reports by named facility - At tier 1 level,Selected audit findings/reports by named facility - Beyond tier 1,Selected audit findings/reports by named facility - Raw material level,Full audit reports naming individual facilities - At tier 1 level,Full audit reports naming individual facilities - Beyond tier 1,Full audit reports naming individual facilities - Raw material level,Total
Abercrombie & Fitch,1,1,0,0,0,0,2,0,0,0,0,0,4
Adidas,1,0,0,0,0,0,2,2,0,0,0,0,5
Aeropostale,0,0,0,0,0,0,0,0,0,0,0,0,0
AJIO,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDI Nord,1,0,0,0,0,0,2,0,0,0,0,0,3
ALDI SOUTH,0,0,0,0,0,0,2,0,0,0,0,0,2
ALDO,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon,1,0,0,0,0,0,2,0,0,0,0,0,3
American Eagle,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTA,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthropologie,0,0,0,0,0,0,0,0,0,0,0,0,0
Aritzia,0,0,0,0,0,0,0,0,0,0,0,0,0
Armani,0,0,0,0,0,0,0,0,0,0,0,0,0
Asda,1,1,0,0,0,0,0,0,0,0,0,0,2
ASICS,1,1,0,0,0,0,2,2,0,0,0,0,6
ASOS,0,0,0,0,0,0,2,2,0,0,0,0,4
Balenciaga,1,1,1,0,0,0,0,0,0,0,0,0,3
Bally,0,0,0,0,0,0,0,0,0,0,0,0,0
Banana Republic,1,1,0,0,0,0,2,2,0,0,0,0,6
BCBGMAXAZRIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Beanpole,0,0,0,0,0,0,0,0,0,0,0,0,0
Belle,0,0,0,0,0,0,0,0,0,0,0,0,0
Bershka,1,1,1,0,0,0,0,0,0,0,0,0,3
Big Bazaar - ffb,0,0,0,0,0,0,0,0,0,0,0,0,0
Big W,1,0,0,0,0,0,2,0,0,0,0,0,3
Billabong,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomingdale's,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonprix,0,1,0,0,0,0,2,2,0,0,0,0,5
boohoo,1,1,0,0,0,0,0,0,0,0,0,0,2
Bosideng,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottega Veneta,1,1,1,0,0,0,0,0,0,0,0,0,3
Brooks Sport,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunello Cucinelli,1,0,0,0,0,0,0,0,0,0,0,0,1
Buckle,0,0,0,0,0,0,0,0,0,0,0,0,0
Burberry,1,0,0,0,0,0,0,0,0,0,0,0,1
Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0
C&A,1,1,0,0,0,0,2,2,0,0,0,0,6
Calvin Klein,1,0,0,0,0,0,2,2,0,0,0,0,5
Calzedonia,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada Goose,0,0,0,0,0,0,0,0,0,0,0,0,0
Carhartt,0,0,0,0,0,0,0,0,0,0,0,0,0
Carolina Herrera,0,0,0,0,0,0,0,0,0,0,0,0,0
CAROLL,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrefour ,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter's,0,0,0,0,0,0,0,0,0,0,0,0,0
CELINE,1,0,0,0,0,0,0,0,0,0,0,0,1
celio,0,0,0,0,0,0,0,0,0,0,0,0,0
Champion,1,0,0,0,0,0,0,0,0,0,0,0,1
Chanel,1,0,0,0,0,0,0,0,0,0,0,0,1
Chico's,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloé,0,0,0,0,0,0,0,0,0,0,0,0,0
Claire's,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarks,1,0,0,0,0,0,0,0,0,0,0,0,1
COACH,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Haan,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia Sportswear,1,1,0,0,0,0,2,0,0,0,0,0,4
Converse,1,0,0,0,0,0,2,0,0,0,0,0,3
Cortefiel,1,0,0,0,0,0,0,0,0,0,0,0,1
Costco,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotton On,1,0,0,0,0,0,2,2,0,0,0,0,5
Decathlon,1,1,0,0,0,0,0,0,0,0,0,0,2
Deichmann,0,0,0,0,0,0,0,0,0,0,0,0,0
Desigual,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick's Sporting Goods,1,0,0,0,0,0,2,0,0,0,0,0,3
Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillard's,1,0,0,0,0,0,0,0,0,0,0,0,1
Dior,1,0,0,0,0,0,0,0,0,0,0,0,1
Disney,1,1,0,0,0,0,2,2,0,0,0,0,6
DKNY,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolce & Gabbana,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr. Martens,0,0,0,0,0,0,0,0,0,0,0,0,0
Dressmann,1,0,0,0,0,0,2,2,0,0,0,0,5
DSW,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Bauer,0,0,0,0,0,0,0,0,0,0,0,0,0
El Corte Inglés,1,0,0,0,0,0,0,0,0,0,0,0,1
Elie Tahari,0,0,0,0,0,0,0,0,0,0,0,0,0
Ermenegildo Zegna,0,0,0,0,0,0,0,0,0,0,0,0,0
Esprit,1,0,0,0,0,0,2,2,2,0,0,0,7
Express,0,0,0,0,0,0,0,0,0,0,0,0,0
Falabella,1,0,0,0,0,0,0,0,0,0,0,0,1
Famous Footwear,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanatics,0,0,0,0,0,0,0,0,0,0,0,0,0
Fashion Nova,0,0,0,0,0,0,0,0,0,0,0,0,0
Fendi,1,0,0,0,0,0,0,0,0,0,0,0,1
Fila,0,0,0,0,0,0,0,0,0,0,0,0,0
Fjällräven,1,0,0,0,0,0,0,0,0,0,0,0,1
Foot Locker,0,0,0,0,0,0,0,0,0,0,0,0,0
Foschini,0,0,0,0,0,0,0,0,0,0,0,0,0
Fossil,0,0,0,0,0,0,0,0,0,0,0,0,0
Free people,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruit of the Loom,1,0,0,0,0,0,2,2,0,0,0,0,5
Furla,0,0,0,0,0,0,0,0,0,0,0,0,0
Gap,1,1,0,0,0,0,2,2,0,0,0,0,6
Gerry Weber,1,0,0,0,0,0,0,0,0,0,0,0,1
Gildan,1,0,0,0,0,0,2,0,0,0,0,0,3
G-Star RAW,0,0,0,0,0,0,2,2,0,0,0,0,4
GU,1,1,0,0,0,0,2,2,0,0,0,0,6
Gucci,1,1,1,0,0,0,0,0,0,0,0,0,3
GUESS,0,0,0,0,0,0,0,0,0,0,0,0,0
H&M,1,1,0,2,2,0,2,2,0,0,0,0,10
Hanes,1,0,0,0,0,0,0,0,0,0,0,0,1
Heilan Home,0,0,0,0,0,0,0,0,0,0,0,0,0
Helly Hansen,0,0,0,0,0,0,2,2,0,0,0,0,4
HEMA,1,1,0,0,0,0,0,0,0,0,0,0,2
Hermès,0,0,0,0,0,0,0,0,0,0,0,0,0
Hollister Co.,1,1,0,0,0,0,2,0,0,0,0,0,4
Hudson's Bay,1,0,0,0,0,0,0,0,0,0,0,0,1
Hugo Boss,1,0,0,0,0,0,2,0,0,0,0,0,3
Intimissimi,0,0,0,0,0,0,0,0,0,0,0,0,0
Ito-Yokado,1,0,0,0,0,0,0,0,0,0,0,0,1
Jack & Jones,1,0,0,0,0,0,2,0,0,0,0,0,3
