Brand,"Discloses the process for remediation when non-compliances are found in a facility (e.g. corrective action plans that include stop-work notices, warning letters, supplementary training, and/or policy revision)","Discloses how the company engages with workers/producers/farmers, trade unions and any other affected stakeholders in the development and implementation of remediation/corrective action plans","Discloses exit strategy when a brand leaves a supplier (e.g. ensuring that policy is not to just cut-and-run, including an assessment on potential adverse human rights impacts and ensuring suppliers are given reasonable notice of intent to terminate the relationship)",Total
Abercrombie & Fitch,1,0,0,1
Adidas,1,1,1,3
Aeropostale,1,0,0,1
AJIO,0,0,0,0
ALDI Nord,0,0,0,0
ALDI SOUTH,1,0,0,1
ALDO,1,1,0,2
Amazon,1,0,0,1
American Eagle,0,0,0,0
ANTA,1,0,0,1
Anthropologie,1,0,1,2
Aritzia,1,1,0,2
Armani,1,0,0,1
Asda,1,0,1,2
ASICS,1,0,1,2
ASOS,1,1,1,3
Balenciaga,1,1,0,2
Bally,0,0,0,0
Banana Republic,1,1,0,2
BCBGMAXAZRIA,1,0,0,1
Beanpole,0,0,0,0
Belle,0,0,0,0
Bershka,1,1,0,2
Big Bazaar - ffb,0,0,0,0
Big W,1,0,0,1
Billabong,0,0,0,0
Bloomingdale's,0,0,0,0
Bonprix,0,0,0,0
boohoo,0,0,0,0
Bosideng,0,0,0,0
Bottega Veneta,1,1,0,2
Brooks Sport,1,0,0,1
Brunello Cucinelli,0,0,0,0
Buckle,0,0,0,0
Burberry,1,0,1,2
Burlington,1,0,0,1
C&A,1,1,1,3
Calvin Klein,1,1,1,3
Calzedonia,0,0,0,0
Canada Goose,1,0,0,1
Carhartt,0,0,0,0
Carolina Herrera,0,0,0,0
CAROLL,1,0,0,1
Carrefour ,1,1,0,2
Carter's,1,0,0,1
CELINE,1,0,0,1
celio,0,0,0,0
Champion,1,0,0,1
Chanel,1,0,0,1
Chico's,0,0,0,0
Chloé,0,0,0,0
Claire's,0,0,0,0
Clarks,1,0,0,1
COACH,0,0,0,0
Cole Haan,1,0,0,1
Columbia Sportswear,1,0,0,1
Converse,1,0,1,2
Cortefiel,1,0,0,1
Costco,1,0,0,1
Cotton On,1,0,0,1
Decathlon,1,0,0,1
Deichmann,0,0,0,0
Desigual,1,0,0,1
Dick's Sporting Goods,1,0,1,2
Diesel,0,0,0,0
Dillard's,1,0,0,1
Dior,1,0,0,1
Disney,1,0,0,1
DKNY,1,0,0,1
Dolce & Gabbana,0,0,0,0
Dr. Martens,1,0,0,1
Dressmann,1,0,1,2
DSW,0,0,0,0
Eddie Bauer,0,0,0,0
El Corte Inglés,0,0,0,0
Elie Tahari,0,0,0,0
Ermenegildo Zegna,1,0,0,1
Esprit,1,1,1,3
Express,1,0,0,1
Falabella,0,0,0,0
Famous Footwear,0,0,0,0
Fanatics,1,0,0,1
Fashion Nova,0,0,0,0
Fendi,1,0,0,1
Fila,0,0,0,0
Fjällräven,1,0,0,1
Foot Locker,1,0,0,1
Foschini,0,0,0,0
Fossil,1,0,0,1
Free people,1,0,1,2
Fruit of the Loom,1,0,0,1
Furla,0,0,0,0
Gap,1,1,0,2
Gerry Weber,0,0,0,0
Gildan,1,1,0,2
G-Star RAW,1,1,1,3
GU,0,1,0,1
Gucci,1,1,0,2
GUESS,1,0,0,1
H&M,1,1,0,2
Hanes,1,0,0,1
Heilan Home,0,0,0,0
Helly Hansen,0,0,0,0
HEMA,0,0,0,0
Hermès,1,1,0,2
Hollister Co.,1,0,0,1
Hudson's Bay,1,0,0,1
Hugo Boss,1,0,0,1
Intimissimi,0,0,0,0
Ito-Yokado,1,0,0,1
Jack & Jones,1,1,0,2
JD Sports,1,0,0,1
Jessica Simpson,0,0,0,0
Jil Sander,1,0,0,1
Jockey,0,0,0,0
Joe Fresh,1,0,0,1
John Lewis,1,1,0,2
Jordan,1,0,1,2
Justfab,1,0,0,1
Kate Spade,0,0,0,0
Kathmandu,0,0,0,0
Kaufland,0,0,0,0
Kiabi,1,0,0,1
KiK,1,0,1,2
Kmart ,1,0,1,2
Kmart Australia,1,1,1,3
Kohl's,1,0,0,1
KOOVS,0,0,0,0
K-Way,0,0,0,0
La Redoute,0,0,0,0
Lacoste,1,0,0,1
Lands' End,1,0,1,2
LC Waikiki,1,0,0,1
Levi Strauss & Co,1,1,0,2
Lidl,1,0,0,1
Lindex,0,0,0,0
Li-Ning,1,0,0,1
LL Bean,0,0,0,0
Longchamp,0,0,0,0
Louis Vuitton,1,0,0,1
Lululemon,1,0,0,1
Macy's,0,0,0,0
Mammut,1,1,1,3
Mango,1,1,0,2
Marc Jacobs,1,0,0,1
Marks & Spencer,1,0,1,2
Marni,0,0,0,0
Massimo Dutti,1,1,0,2
Matalan,1,0,0,1
Max Mara,0,0,0,0
Merrell,1,0,0,1
Metersbonwe,0,0,0,0
Mexx,0,0,0,0
Michael Kors,1,0,0,1
Miu Miu,1,0,0,1
Mizuno,1,0,0,1
Moncler,1,0,0,1
Monoprix,1,0,0,1
Morrisons,1,0,0,1
MRP,1,0,0,1
Muji,1,1,1,3
New Balance,1,1,0,2
New Look,1,0,0,1
New Yorker,0,0,0,0
Next,1,0,1,2
Nike,1,0,1,2
Nine West,0,0,0,0
Nordstrom,1,0,1,2
Old Navy,1,1,0,2
Otto,0,0,0,0
OVS,1,1,1,3
Paris,0,0,0,0
Patagonia,1,1,1,3
Pepe Jeans,0,0,0,0
Pimkie,1,0,1,2
Prada,1,0,0,1
PrettyLittleThing,0,0,0,0
Primark,1,1,0,2
Prisma,1,1,1,3
Pull&Bear,1,1,0,2
Puma,1,0,0,1
Quiksilver,0,0,0,0
Ralph Lauren,0,0,0,0
Reebok,1,1,1,3
REI,1,0,0,1
Reliance Trends,0,0,0,0
Reserved,0,0,0,0
REVOLVE,0,0,0,0
River Island,1,0,0,1
Ross Dress for Less,1,0,0,1
Roxy,0,0,0,0
Russell Athletic,1,0,0,1
s.Oliver,0,0,0,0
Sainsbury's,1,0,0,1
SAINT LAURENT,1,1,0,2
Saks Fifth Avenue,1,0,0,1
Salvatore Ferragamo,1,0,0,1
Sandro,1,0,0,1
Semir,0,0,0,0
SHEIN,0,0,0,0
Skechers,1,0,0,1
Speedo,1,1,1,3
Splash,0,0,0,0
Sports Direct,0,0,0,0
Steve Madden,0,0,0,0
Stradivarius,1,1,0,2
Superdry,1,0,1,2
Takko,1,1,0,2
Target,1,1,1,3
Target Australia,1,1,1,3
Tchibo,1,1,0,2
Ted Baker,1,0,0,1
Tesco ,1,0,1,2
Tezenis,0,0,0,0
The Children's Place,0,1,0,1
The North Face,1,1,0,2
The Warehouse,1,0,0,1
Timberland,1,1,0,2
TJ Maxx,1,0,0,1
Tod's,0,0,0,0
Tom Ford,0,0,0,0
Tom Tailor,1,0,1,2
Tommy Bahama,1,0,0,1
Tommy Hilfiger,1,1,1,3
Topman,1,0,0,1
Topshop,1,0,0,1
TOPVALU COLLECTION,1,0,0,1
Tory Burch,0,0,0,0
Triumph,0,0,0,0
Truworths,0,0,0,0
UGG,1,0,0,1
Under Armour,1,1,0,2
