Brand,"For direct employees - Description of confidential whistleblowing or grievance mechanism e.g. web form, email, hotline (The mechanism itself must be published, not sufficient if they just say that they have it in place)","For direct employees - How the whistleblowing or grievance mechanism is implemented, i.e. how the company responds to complaints and/or reported violations of policies and standards","For direct employees - Discloses data about the number of reported violations or grievances filed, addressed and resolved","For suppliers and vendors.  (No points given if onus is solely on the supplier to set up a grievance mechanism) - Description of confidential whistleblowing or grievance mechanism e.g. web form, email, hotline (The mechanism itself must be published, not sufficient if they just say that they have it in place)","For suppliers and vendors.  (No points given if onus is solely on the supplier to set up a grievance mechanism) - How the whistleblowing or feedback mechanism is implemented, i.e. how the company responds to complaints and/or reported violations of policies and standards",For suppliers and vendors.  (No points given if onus is solely on the supplier to set up a grievance mechanism) - How workers are informed of the whistleblowing or grievance mechanism (e.g. posted a wall or board in the facility; via a training session with facility workers),"For suppliers and vendors.  (No points given if onus is solely on the supplier to set up a grievance mechanism) - If the whistleblowing procedure or grievance mechanism is included in the supplier/vendor policies e.g. Code of Conduct (The mechanism itself must be published, not sufficient if they just say that they have it in place)","For suppliers and vendors.  (No points given if onus is solely on the supplier to set up a grievance mechanism) - Discloses data about the number of reported violations or grievances filed, addressed and resolved",Total
Abercrombie & Fitch,1,1,0,0,0,0,0,0,2
Adidas,1,1,1,1,1,1,1,1,8
Aeropostale,0,0,0,0,0,0,0,0,0
AJIO,1,1,0,0,0,0,0,0,2
ALDI Nord,1,1,0,1,1,0,0,0,4
ALDI SOUTH,1,0,0,1,1,0,0,0,3
ALDO,1,1,0,1,1,0,0,0,4
Amazon,0,0,0,0,0,0,0,0,0
American Eagle,1,1,0,0,0,0,0,0,2
ANTA,1,0,0,0,0,0,0,0,1
Anthropologie,1,1,0,0,0,0,0,0,2
Aritzia,1,0,0,1,0,0,0,0,2
Armani,0,0,0,0,0,0,0,0,0
Asda,1,1,0,1,1,1,1,0,6
ASICS,1,1,0,1,1,1,1,0,6
ASOS,0,0,0,1,0,1,0,0,2
Balenciaga,1,1,1,1,1,0,1,1,7
Bally,1,0,0,1,0,0,1,0,3
Banana Republic,1,1,0,1,1,1,0,1,6
BCBGMAXAZRIA,0,0,0,0,0,0,0,0,0
Beanpole,0,0,0,0,0,0,0,0,0
Belle,0,0,0,0,0,0,0,0,0
Bershka,1,1,1,1,1,1,1,1,8
Big Bazaar - ffb,0,0,0,0,0,0,0,0,0
Big W,1,1,1,1,1,1,1,1,8
Billabong,0,0,0,0,0,0,0,0,0
Bloomingdale's,1,1,0,0,0,0,0,0,2
Bonprix,1,1,0,1,0,1,0,1,5
boohoo,0,0,0,1,0,1,0,0,2
Bosideng,0,0,0,0,0,0,0,0,0
Bottega Veneta,1,1,1,1,1,0,1,1,7
Brooks Sport,0,0,0,1,1,1,1,0,4
Brunello Cucinelli,1,1,0,1,1,0,0,0,4
Buckle,1,1,0,1,0,1,1,0,5
Burberry,0,0,0,0,0,1,0,1,2
Burlington,1,1,0,1,1,0,1,0,5
C&A,1,1,0,1,1,1,1,1,7
Calvin Klein,1,1,0,1,1,1,0,1,6
Calzedonia,0,0,0,0,0,0,0,0,0
Canada Goose,1,1,0,0,0,0,0,0,2
Carhartt,0,0,0,1,0,0,0,0,1
Carolina Herrera,1,0,1,0,0,0,0,0,2
CAROLL,1,1,0,1,1,0,1,0,5
Carrefour ,1,0,0,1,0,0,1,0,3
Carter's,1,1,0,1,1,0,1,0,5
CELINE,1,0,1,1,0,0,0,0,3
celio,0,0,0,0,0,0,0,0,0
Champion,1,1,0,1,1,1,1,0,6
Chanel,0,0,0,0,0,0,0,0,0
Chico's,1,0,0,1,0,0,0,0,2
Chloé,1,0,1,1,0,0,1,1,5
Claire's,1,0,0,0,0,0,0,0,1
Clarks,1,1,0,1,1,0,1,0,5
COACH,1,0,0,1,0,0,1,0,3
Cole Haan,0,0,0,0,0,0,0,0,0
Columbia Sportswear,1,1,0,1,0,0,0,0,3
Converse,1,1,0,0,1,1,0,0,4
Cortefiel,1,1,1,1,1,0,0,1,6
Costco,1,1,0,1,0,0,0,0,3
Cotton On,1,1,0,1,1,0,0,0,4
Decathlon,1,0,1,1,0,0,0,1,4
Deichmann,0,0,0,0,0,0,0,0,0
Desigual,1,1,0,1,0,1,1,0,5
Dick's Sporting Goods,1,1,0,1,1,0,1,0,5
Diesel,1,1,0,0,0,0,0,0,2
Dillard's,1,1,0,0,1,0,0,0,3
Dior,1,0,1,1,0,0,0,0,3
Disney,1,1,0,1,1,0,0,0,4
DKNY,0,0,0,0,0,0,0,0,0
Dolce & Gabbana,0,0,0,0,0,0,0,0,0
Dr. Martens,1,0,0,0,0,0,0,0,1
Dressmann,1,1,1,1,0,0,1,1,6
DSW,1,1,0,1,1,0,0,0,4
Eddie Bauer,0,0,0,0,0,0,0,0,0
El Corte Inglés,1,1,1,1,1,1,1,1,8
Elie Tahari,0,0,0,0,0,0,0,0,0
Ermenegildo Zegna,1,1,0,1,1,0,0,0,4
Esprit,1,1,0,1,1,1,0,1,6
Express,1,1,0,0,0,0,0,0,2
Falabella,1,1,1,1,1,0,1,1,7
Famous Footwear,1,0,0,0,0,0,0,0,1
Fanatics,0,0,0,0,0,0,0,0,0
Fashion Nova,0,0,0,0,0,0,0,0,0
Fendi,1,0,1,1,0,0,0,0,3
Fila,1,1,0,0,0,0,0,0,2
Fjällräven,1,0,1,1,0,1,1,0,5
Foot Locker,1,0,0,0,0,0,0,0,1
Foschini,0,0,1,1,0,0,0,1,3
Fossil,1,1,0,0,0,0,0,0,2
Free people,1,1,0,0,0,0,0,0,2
Fruit of the Loom,0,0,0,1,0,1,1,1,4
Furla,1,1,0,1,1,0,0,0,4
Gap,1,1,0,1,1,1,0,1,6
Gerry Weber,1,1,0,0,0,0,0,0,2
Gildan,1,1,1,1,1,1,0,1,7
G-Star RAW,1,1,0,0,0,0,0,0,2
GU,0,1,1,0,1,1,0,1,5
Gucci,1,1,1,1,1,0,1,1,7
GUESS,0,0,0,0,0,0,0,0,0
H&M,1,1,1,0,0,0,0,1,4
Hanes,1,1,0,1,1,1,1,0,6
Heilan Home,0,0,0,0,0,0,0,0,0
Helly Hansen,0,0,0,0,0,0,0,0,0
HEMA,0,0,0,0,0,0,0,0,0
Hermès,0,1,1,0,1,0,0,1,4
Hollister Co.,1,1,0,0,0,0,0,0,2
Hudson's Bay,0,0,0,1,1,0,1,0,3
Hugo Boss,1,1,1,1,1,1,0,1,7
Intimissimi,0,0,0,0,0,0,0,0,0
Ito-Yokado,1,1,1,1,1,0,0,0,5
Jack & Jones,0,0,0,0,0,0,0,0,0
JD Sports,1,0,0,1,1,0,1,0,4
Jessica Simpson,0,0,0,0,0,0,0,0,0
Jil Sander,0,0,0,0,0,0,0,0,0
Jockey,0,0,0,0,0,0,0,0,0
Joe Fresh,1,0,0,1,0,0,1,0,3
John Lewis,0,0,0,0,0,0,0,1,1
Jordan,1,1,0,0,1,1,0,0,4
Justfab,0,0,0,0,0,0,0,0,0
Kate Spade,1,0,0,1,0,0,1,0,3
Kathmandu,0,0,0,1,1,0,1,0,3
Kaufland,1,0,1,1,0,0,0,0,3
Kiabi,0,0,0,0,0,0,0,0,0
KiK,0,0,0,1,0,0,0,0,1
Kmart ,1,1,0,0,0,0,0,0,2
Kmart Australia,1,1,1,1,1,1,1,1,8
Kohl's,1,0,0,1,0,1,1,0,4
KOOVS,0,0,0,0,0,0,0,0,0
K-Way,0,0,0,0,0,0,0,0,0
La Redoute,0,0,0,0,0,0,0,0,0
Lacoste,1,1,0,1,1,0,1,0,5
Lands' End,1,1,0,0,0,1,1,0,4
LC Waikiki,0,0,0,0,0,0,0,0,0
Levi Strauss & Co,1,1,0,0,0,0,0,0,2
Lidl,1,1,1,1,1,0,1,1,7
Lindex,0,0,0,0,0,0,0,0,0
Li-Ning,0,0,0,1,1,0,1,0,3
LL Bean,0,0,0,0,0,0,0,0,0
Longchamp,0,0,0,0,0,0,0,0,0
Louis Vuitton,1,0,1,1,0,0,0,0,3
Lululemon,1,1,0,1,1,1,1,1,7
Macy's,1,1,0,0,0,0,0,0,2
Mammut,1,1,0,1,1,1,1,1,7
Mango,1,0,0,1,0,1,1,0,4
Marc Jacobs,1,0,1,1,0,0,0,0,3
Marks & Spencer,1,1,0,1,1,1,0,1,6
Marni,1,1,0,0,0,0,0,0,2
Massimo Dutti,1,1,1,1,1,1,1,1,8
Matalan,1,1,0,0,0,0,0,0,2
Max Mara,0,0,0,0,0,0,0,0,0
Merrell,1,0,0,1,0,0,0,0,2
Metersbonwe,0,0,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0,0,0
Michael Kors,1,1,0,1,0,0,0,0,3
Miu Miu,0,0,0,0,0,0,0,0,0
Mizuno,0,1,1,0,0,0,0,0,2
Moncler,1,0,0,1,0,0,1,0,3
Monoprix,1,1,0,0,0,0,0,0,2
Morrisons,1,1,0,1,1,0,0,0,4
MRP,1,1,0,1,1,0,1,1,6
Muji,0,1,1,1,0,0,1,0,4
New Balance,1,0,0,1,1,1,1,0,5
New Look,0,0,0,0,0,1,0,1,2
New Yorker,0,0,0,0,0,0,0,0,0
Next,0,0,0,1,1,0,0,0,2
Nike,1,1,0,0,1,1,0,0,4
Nine West,0,0,0,0,0,0,0,0,0
Nordstrom,1,1,1,1,0,0,0,1,5
Old Navy,1,1,0,1,1,1,0,1,6
Otto,1,1,0,1,0,1,0,0,4
OVS,1,1,1,1,1,1,1,1,8
Paris,1,1,0,1,0,0,0,0,3
Patagonia,1,1,0,1,1,1,1,0,6
Pepe Jeans,0,0,0,0,0,0,0,0,0
Pimkie,0,0,0,0,0,0,0,0,0
Prada,0,0,0,0,0,0,0,0,0
PrettyLittleThing,0,0,0,1,0,1,0,0,2
Primark,1,1,1,1,1,1,0,1,7
Prisma,1,1,1,1,1,1,0,1,7
Pull&Bear,1,1,1,1,1,1,1,1,8
Puma,1,1,1,1,1,1,1,1,8
Quiksilver,0,0,0,0,0,0,0,0,0
Ralph Lauren,1,1,0,1,1,0,1,0,5
Reebok,1,1,1,1,1,1,1,1,8
REI,0,1,0,0,0,0,0,0,1
Reliance Trends,1,1,0,0,0,0,0,0,2
Reserved,0,0,0,0,0,0,0,0,0
REVOLVE,1,0,0,0,0,0,0,0,1
River Island,1,1,0,0,0,0,0,0,2
Ross Dress for Less,1,1,0,1,1,0,0,0,4
Roxy,0,0,0,0,0,0,0,0,0
Russell Athletic,0,0,0,1,0,1,1,1,4
s.Oliver,0,0,0,0,0,0,0,0,0
Sainsbury's,0,0,0,0,0,1,0,0,1
SAINT LAURENT,1,1,1,1,1,0,1,1,7
Saks Fifth Avenue,0,0,0,1,1,0,1,0,3
Salvatore Ferragamo,1,0,1,1,0,0,1,0,4
Sandro,0,0,0,0,0,0,0,0,0
Semir,0,0,0,0,0,0,0,0,0
SHEIN,0,0,0,0,0,0,0,0,0
Skechers,1,0,0,0,0,0,0,0,1
Speedo,1,0,0,0,0,0,0,0,1
Splash,1,0,0,0,0,0,0,0,1
Sports Direct,0,0,0,0,0,0,0,0,0
Steve Madden,1,0,0,1,0,0,0,0,2
Stradivarius,1,1,1,1,1,1,1,1,8
Superdry,1,1,0,0,0,0,0,0,2
Takko,0,0,0,0,1,1,0,1,3
Target,1,1,0,1,1,1,1,0,6
Target Australia,1,1,1,1,1,1,1,1,8
Tchibo,1,0,0,1,1,1,1,1,6
Ted Baker,0,0,0,0,0,0,0,0,0
Tesco ,1,1,0,1,1,1,0,1,6
Tezenis,0,0,0,0,0,0,0,0,0
The Children's Place,1,1,0,0,0,0,0,0,2
The North Face,1,1,1,1,1,1,0,1,7
The Warehouse,1,1,0,1,0,1,1,1,6
Timberland,1,1,1,1,1,1,0,1,7
TJ Maxx,1,1,0,0,0,0,0,0,2
Tod's,1,1,0,1,1,0,1,0,5
Tom Ford,0,0,0,0,0,0,0,0,0
Tom Tailor,1,1,0,1,1,0,0,0,4
