Brand,COVID-19 response - % of orders since the outbreak of COVID-19 where partial or complete order cancellations applied,COVID-19 response - % of orders since the outbreak of COVID-19 that have been cancelled and not been reinstated and paid in full,COVID-19 response - % of orders since the outbreak of COVID-19 for which discounts on the previously agreed payment terms have been renegotiated,COVID-19 response - % of workers that received late wage payments due to COVID-19,COVID-19 response - % or number of workers in the brand’s supply chain that have been laid off as a result of COVID-19 (approximate % is sufficient),COVID-19 response - % that the brand’s Free On Board (FOB) prices have increased or decreased on average in the past 12 months,Living wages - Discloses the company's approach to achieving the payment of living wages to workers in the supply chain,"Living wages - Publishes time-bound, measurable roadmap/strategy for how it will achieve a living wage for all workers across its supply chain","Living wages - Reports on annual, measurable progress towards paying living wages to workers in the supply chain",Living wages - Discloses what living wage estimates brand uses to track and benchmark wages for workers in its supply chain,Living wages - % of workers that are receiving wage payments digitally,Living wages - % above the minimum wage workers are paid in the brand’s supply chain,Living wages - Discloses % or number of workers in supply chain that are being paid a living wage rate,"Purchasing practices - Discloses method for calculating and ring-fencing labour costs (including a wage rates + overtime, social security, sick leave, vacation and other forms of leave as well as the cost of indirect labour and wage increases) in price negotiations",Purchasing practices - % of orders/volume for which wages and other labour costs (such as wages increases) are isolated/ring-fenced,"Purchasing practices - Publishes a standard supplier agreement template, setting out typical order and payment terms and conditions",Purchasing practices - Discloses policy on what % of the purchase order the brand typically pays to the supplier up front before production begins (in order to cover things such as the cost of raw materials),Purchasing practices - Discloses policy to pay suppliers within a maximum of 60 days (e.g. via UK Prompt Payment Code commitments),Purchasing practices - Discloses the average number of days in which purchase orders are paid in full to suppliers after delivery,Purchasing practices - % of retrospective changes made to orders or payment terms after the original purchase order agreement was made,"Purchasing practices - Discloses annual supplier feedback on the brands’ purchasing practices through a formal process (e.g. via Better Buying platform, Supplier Summits, internal surveys of suppliers of brands’ purchasing practices)","Unionisation & collective bargaining - Number or % of supplier facilities that have independent, democratically elected trade unions",Unionisation & collective bargaining - Number or % of workers in the supply chain that are covered by collective bargaining agreements,Unionisation & collective bargaining - Number of collective bargaining agreements that provide wages that are higher than required by local law for workers in the supply chain,Unionisation & collective bargaining - Publishes data on the prevalence of collective bargaining and freedom of association related violations in supplier facilities,Total
Abercrombie & Fitch,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adidas,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
Aeropostale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ALDI Nord,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALDI SOUTH,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ALDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
American Eagle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthropologie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3
Aritzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asda,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASOS,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
Balenciaga,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,5
Bally,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Banana Republic,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
BCBGMAXAZRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
