Brand,"Gender equality - Publishes data on the prevalence of gender-based labour violations in supplier facilities (e.g. sexual harassment and other forms of gender-based violence; treatment and firing of pregnant workers; maternity pay; bathroom breaks during periods, etc.; women in supervisor/middle management roles; gender pay gap; women on Worker Participations Committees and in unions; etc.)","Gender equality - Publishes annual sex-disaggregated distribution of job roles (e.g. employees such as helpers, machinists verses supervisors/managers) in supplier facilities","Gender equality - Publishes annual sex-disaggregated distribution of job roles (e.g. executive level, managers/supervisors, employees) within the company (head office, retail stories, owned and operated facilities)","Gender equality - Publishes annual gender pay gap, including by distribution of job roles, within the company",Racial equality - Publishes actions focusing on the promotion of race equality ,"Racial equality - Publishes annual ethnicity pay gap, including by distribution of job roles (e.g. employees such as helpers, machinists verses supervisors/managers) in supplier facilities","Racial equality - Publishes race/ethnicity breakdown by distribution of job roles (e.g. executive level, managers/supervisors, employees) within the company (head office, retail stories, owned and operated facilities)",Total
Abercrombie & Fitch,0,0,1,1,0,0,0,2
Adidas,0,0,0,0,1,0,0,1
Aeropostale,0,0,0,0,0,0,0,0
AJIO,0,0,0,0,0,0,0,0
ALDI Nord,0,0,1,0,0,0,0,1
ALDI SOUTH,0,0,1,1,0,0,0,2
ALDO,0,0,0,0,0,0,0,0
Amazon,0,0,1,1,1,1,1,5
American Eagle,0,0,0,0,0,0,0,0
ANTA,0,0,1,0,0,0,0,1
Anthropologie,0,0,0,1,0,0,0,1
Aritzia,0,0,1,0,0,0,0,1
Armani,0,0,1,0,0,0,0,1
Asda,0,1,1,1,0,0,1,4
ASICS,0,0,1,0,0,0,0,1
ASOS,0,0,1,1,0,0,0,2
Balenciaga,0,0,1,0,0,0,0,1
Bally,0,0,1,1,0,0,0,2
Banana Republic,0,0,1,1,0,0,1,3
BCBGMAXAZRIA,0,0,0,0,0,0,0,0
Beanpole,0,0,1,0,0,0,0,1
Belle,0,0,0,0,0,0,0,0
Bershka,0,0,1,1,0,0,0,2
Big Bazaar - ffb,0,0,0,0,0,0,0,0
Big W,0,0,1,1,0,0,0,2
Billabong,0,0,0,0,0,0,0,0
Bloomingdale's,0,0,0,0,0,0,0,0
Bonprix,0,0,0,0,0,0,0,0
boohoo,0,0,0,0,0,0,0,0
Bosideng,0,0,0,0,0,0,0,0
Bottega Veneta,0,0,1,0,0,0,0,1
Brooks Sport,0,0,1,0,0,0,1,2
Brunello Cucinelli,0,0,0,0,0,0,0,0
Buckle,0,0,0,0,0,0,0,0
Burberry,0,0,1,1,0,0,0,2
Burlington,0,0,1,0,0,0,1,2
C&A,1,1,1,0,1,0,1,5
Calvin Klein,0,0,1,1,1,0,1,4
Calzedonia,0,0,1,1,0,0,0,2
Canada Goose,0,0,0,0,0,0,0,0
Carhartt,0,0,0,0,0,0,0,0
Carolina Herrera,0,0,0,1,0,0,0,1
CAROLL,0,0,0,0,0,0,0,0
Carrefour ,0,0,1,0,0,0,0,1
Carter's,0,0,1,0,1,0,0,2
CELINE,0,0,1,0,0,0,0,1
celio,0,0,0,0,0,0,0,0
Champion,0,1,1,0,0,0,1,3
Chanel,0,0,1,1,0,0,0,2
Chico's,0,0,0,0,0,0,0,0
Chloé,0,1,1,1,0,0,0,3
Claire's,0,0,0,0,0,0,0,0
Clarks,0,0,1,1,0,0,0,2
COACH,0,0,1,0,0,0,1,2
Cole Haan,0,0,0,0,0,0,0,0
Columbia Sportswear,0,0,1,0,0,0,1,2
Converse,0,0,1,1,1,1,1,5
Cortefiel,0,0,1,1,0,0,0,2
Costco,0,0,1,0,0,0,1,2
Cotton On,0,0,0,0,0,0,0,0
Decathlon,0,0,0,0,0,0,0,0
Deichmann,0,0,0,0,0,0,0,0
Desigual,0,0,1,1,0,0,0,2
Dick's Sporting Goods,0,0,0,1,1,0,0,2
Diesel,0,0,1,1,0,0,0,2
Dillard's,0,0,0,0,0,0,0,0
Dior,0,0,1,0,0,0,0,1
Disney,0,0,1,0,0,0,1,2
DKNY,0,0,0,0,0,0,0,0
Dolce & Gabbana,0,0,0,0,0,0,0,0
Dr. Martens,0,0,0,1,0,0,0,1
Dressmann,0,0,1,0,0,0,0,1
DSW,0,0,0,0,0,0,0,0
Eddie Bauer,0,0,0,0,0,0,0,0
El Corte Inglés,0,0,1,1,0,0,0,2
Elie Tahari,0,0,0,0,0,0,0,0
Ermenegildo Zegna,0,0,0,0,0,0,0,0
Esprit,0,1,1,0,0,0,0,2
Express,0,0,0,0,0,0,0,0
Falabella,0,0,1,0,0,0,0,1
Famous Footwear,0,0,0,0,0,0,0,0
Fanatics,0,0,0,0,0,0,0,0
Fashion Nova,0,0,0,0,0,0,0,0
Fendi,0,0,1,0,0,0,0,1
Fila,0,0,0,0,0,0,0,0
Fjällräven,0,1,1,1,0,0,0,3
Foot Locker,0,0,1,0,0,0,1,2
Foschini,0,0,1,0,1,0,1,3
Fossil,0,0,0,0,0,0,0,0
Free people,0,0,0,1,0,0,0,1
Fruit of the Loom,0,0,1,0,0,0,0,1
Furla,0,0,0,0,0,0,0,0
Gap,0,0,1,1,0,0,1,3
Gerry Weber,0,0,0,0,0,0,0,0
Gildan,1,1,1,1,1,0,0,5
G-Star RAW,0,0,0,0,0,0,0,0
GU,1,0,1,1,0,0,0,3
Gucci,0,0,1,1,1,0,1,4
GUESS,0,0,0,0,0,0,0,0
H&M,0,0,1,0,0,0,0,1
Hanes,0,1,1,0,0,0,1,3
Heilan Home,0,0,0,0,0,0,0,0
Helly Hansen,0,0,0,0,0,0,0,0
HEMA,0,0,0,0,0,0,0,0
Hermès,0,1,1,1,0,0,0,3
Hollister Co.,0,0,1,1,0,0,0,2
Hudson's Bay,0,0,0,0,0,0,0,0
Hugo Boss,0,0,1,0,0,0,0,1
Intimissimi,0,0,1,1,0,0,0,2
Ito-Yokado,0,0,1,0,0,0,0,1
Jack & Jones,0,0,0,0,0,0,0,0
JD Sports,0,0,1,1,0,0,0,2
Jessica Simpson,0,0,0,0,0,0,0,0
Jil Sander,0,0,1,0,0,0,0,1
Jockey,0,0,0,0,0,0,0,0
Joe Fresh,0,0,1,0,0,0,0,1
John Lewis,0,1,1,1,0,1,1,5
Jordan,0,0,1,1,1,1,1,5
Justfab,0,0,0,0,0,0,0,0
Kate Spade,0,0,1,0,0,0,1,2
Kathmandu,0,0,1,0,0,0,0,1
Kaufland,0,0,0,0,0,0,0,0
Kiabi,0,0,0,0,0,0,0,0
KiK,0,0,0,0,0,0,0,0
Kmart ,0,0,0,0,0,0,0,0
Kmart Australia,0,0,1,1,1,0,0,3
Kohl's,0,0,0,0,0,0,0,0
