Brand,SUSTAINABLE SOURCING & MATERIALS - Discloses breakdown (% or tonnes) of types of fibres sourced annually (i.e. the fibre mix),"SUSTAINABLE SOURCING & MATERIALS - Discloses a time-bound and measurable sustainable materials strategy, roadmap or targets","SUSTAINABLE SOURCING & MATERIALS - Publishes annual progress on achieving sustainable material targets (e.g. what % of materials are made using conventional/virgin materials verses more sustainable materials such as organic/Fairtrade/BCI cotton, recycled/repurposed, recycled and sustainable wool, recycled polyester, chrome-free/recycled leather, sustainably sourced forest based fabrics)",SUSTAINABLE SOURCING & MATERIALS - Explains what tool or process they use to define what is considered a 'sustainable' material,"SUSTAINABLE SOURCING & MATERIALS - Publishes measurable, time-bound targets for the reduction of textiles deriving from virgin fossil fuels",SUSTAINABLE SOURCING & MATERIALS - Publishes annual progress on the reduction of textiles deriving from virgin fossil fuels,"SUSTAINABLE SOURCING & MATERIALS - Publishes measurable, time-bound targets for the reduction of virgin plastics for packaging (including accessories, hangers, packaging)","SUSTAINABLE SOURCING & MATERIALS - Publishes annual progress on the reduction of virgin plastics for packaging (including accessories, hangers, packaging)",SUSTAINABLE SOURCING & MATERIALS - Discloses what the brand is doing to minimise the impact of microfibres,Total
Abercrombie & Fitch,0,1,1,1,1,0,0,0,0,4
Adidas,0,1,1,0,1,1,1,1,1,7
Aeropostale,0,0,0,0,0,0,0,0,0,0
AJIO,0,0,0,0,0,0,0,0,0,0
ALDI Nord,0,0,0,1,0,0,0,0,0,1
ALDI SOUTH,0,0,0,0,0,0,1,0,0,1
ALDO,0,0,0,0,0,0,0,0,0,0
Amazon,0,1,0,0,0,0,1,1,0,3
American Eagle,0,1,0,0,0,0,0,0,0,1
ANTA,0,0,0,1,0,0,0,0,0,1
Anthropologie,0,1,1,0,1,1,1,1,0,6
Aritzia,0,0,0,1,0,0,1,1,1,4
Armani,0,0,0,0,0,0,1,1,0,2
Asda,0,1,0,0,1,0,1,1,1,5
ASICS,0,1,1,1,1,0,1,1,0,6
ASOS,1,0,1,1,0,0,1,1,1,6
Balenciaga,1,1,1,1,1,0,1,1,1,8
Bally,1,0,0,0,0,0,1,1,0,3
Banana Republic,1,1,1,1,0,1,1,1,1,8
BCBGMAXAZRIA,0,0,0,0,0,0,0,0,0,0
Beanpole,0,0,0,0,0,0,0,0,0,0
Belle,0,0,0,0,0,0,0,0,0,0
Bershka,1,1,1,0,1,1,1,1,1,8
Big Bazaar - ffb,0,0,0,0,0,0,0,0,0,0
Big W,0,0,0,0,0,0,1,0,0,1
Billabong,0,0,0,0,0,0,0,0,0,0
Bloomingdale's,0,0,0,0,0,0,0,0,0,0
Bonprix,1,1,1,1,0,0,1,0,0,5
