Brand,"OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses quantity of products produced during the annual reporting period","OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses quantity of pre-production waste generated annually (e.g. offcuts, scraps, threads, end of roll fabrics)","OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses quantity of post-production/pre-consumer waste generated annually (e.g. deadstock, overstock, samples)","OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses breakdown (% or tonnes) of how pre-consumer waste is reused or recycled (e.g. downcycled, resold locally, used for energy recovery, resold into other markets, upcycled, recycled into new textiles)","OVERCONSUMPTION, WASTE & CIRCULARITY - % or tonnes of textiles or number of items destroyed (typically incinerated) during the annual reporting period ","OVERCONSUMPTION, WASTE & CIRCULARITY - Offers permanent, year-round take-back schemes/in-store recycling","OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses what happens to clothes received through take-back scheme (e.g. how much is resold locally, resold into other markets, downcycled, upcycled, recycled into new textiles)","OVERCONSUMPTION, WASTE & CIRCULARITY - Offers new business models that support clothing longevity and slow down consumption of new clothing such as renting and reselling ","OVERCONSUMPTION, WASTE & CIRCULARITY - Offers repair services in order to increase clothing longevity  and slow down consumption of new clothing ","OVERCONSUMPTION, WASTE & CIRCULARITY - Disclose evidence of developing circular solutions that enable textile to textile recycling beyond reuse and downcycling (e.g. closed loop textile recycling; nb. use of recycled materials not sufficient)","OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses % of products that are designed to enable closed loop or textile to textile recycling at end of life",Total
Abercrombie & Fitch,0,0,0,0,0,1,1,0,0,0,0,2
Adidas,1,0,0,0,0,1,1,0,0,1,0,4
Aeropostale,0,0,0,0,0,0,0,0,0,0,0,0
AJIO,0,0,0,0,0,0,0,0,0,0,0,0
ALDI Nord,0,0,0,0,0,0,0,0,0,1,0,1
ALDI SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
ALDO,0,0,0,0,0,1,1,0,0,0,0,2
Amazon,0,0,0,0,0,1,1,1,0,0,0,3
American Eagle,0,0,0,0,0,1,1,0,0,0,0,2
ANTA,0,0,0,0,0,0,0,0,0,0,0,0
Anthropologie,1,0,0,0,0,0,0,1,0,0,0,2
Aritzia,0,0,0,0,0,0,0,0,0,0,0,0
Armani,0,0,0,0,0,0,0,0,0,0,0,0
Asda,0,0,0,0,0,1,0,0,0,0,0,1
ASICS,0,0,0,0,0,1,1,1,1,1,0,5
ASOS,0,0,0,0,0,1,1,0,0,1,0,3
Balenciaga,0,0,0,0,0,0,0,0,1,1,1,3
Bally,0,0,0,0,0,0,0,0,1,1,0,2
Banana Republic,0,0,0,0,0,1,0,0,0,1,0,2
BCBGMAXAZRIA,0,0,0,0,0,0,0,0,0,0,0,0
Beanpole,0,0,0,0,0,0,0,0,0,0,0,0
Belle,0,0,0,0,0,0,0,0,0,0,0,0
Bershka,1,0,0,1,0,1,1,0,0,1,0,5
Big Bazaar - ffb,0,0,0,0,0,0,0,0,0,0,0,0
Big W,0,0,0,0,0,0,0,0,0,0,0,0
Billabong,0,0,0,0,0,0,0,0,0,0,0,0
Bloomingdale's,0,0,0,0,0,0,0,0,0,0,0,0
Bonprix,0,0,0,0,0,1,1,0,0,0,0,2
boohoo,0,0,0,0,0,1,0,0,0,0,0,1
Bosideng,0,0,0,0,0,0,0,0,0,0,0,0
