Brand,WATER & CHEMICALS - Discloses a time-bound commitment/roadmap to eliminate the use of hazardous chemicals as aligned with international standards such as ZDHC and REACH,WATER & CHEMICALS - Discloses measurable progress towards eliminating the use of hazardous chemicals as aligned with international standards such as ZDHC and REACH,"WATER & CHEMICALS - Publishes supplier wastewater test results, such as in alignment with Detox campaign commitments","WATER & CHEMICALS - Publishes annual water footprint in company’s owned and operated facilities (e.g. head office, retail stores, distribution centres, warehouses, etc.)",WATER & CHEMICALS - Publishes annual water footprint at manufacturing and/or processing facility level,WATER & CHEMICALS - Publishes annual water footprint at fibre production and/or raw material level,WATER & CHEMICALS - Discloses process or methodology for conducting water-related risk assessments,Total
Abercrombie & Fitch,0,0,0,0,0,0,0,0
Adidas,1,1,1,1,0,0,0,4
Aeropostale,0,0,0,0,0,0,0,0
AJIO,0,0,0,0,0,0,0,0
ALDI Nord,1,1,1,1,0,0,1,5
ALDI SOUTH,1,1,1,0,0,0,0,3
ALDO,0,0,0,0,0,0,0,0
Amazon,0,0,0,0,0,0,0,0
American Eagle,0,0,0,0,0,0,0,0
ANTA,0,0,0,1,0,0,0,1
Anthropologie,1,1,0,0,0,0,0,2
Aritzia,0,0,0,1,2,2,0,5
Armani,1,0,0,1,0,0,0,2
Asda,1,1,0,0,0,0,0,2
ASICS,1,0,0,1,2,0,1,5
ASOS,0,0,0,1,0,0,0,1
Balenciaga,0,1,0,1,2,2,1,7
Bally,0,1,0,1,0,0,0,2
Banana Republic,1,1,1,0,0,0,1,4
BCBGMAXAZRIA,0,0,0,0,0,0,0,0
Beanpole,0,0,0,1,0,0,0,1
Belle,0,0,0,0,0,0,0,0
Bershka,1,1,1,1,0,0,0,4
Big Bazaar - ffb,0,0,0,0,0,0,0,0
Big W,0,0,0,0,0,0,0,0
Billabong,0,0,0,0,0,0,0,0
Bloomingdale's,0,0,0,0,0,0,0,0
Bonprix,1,1,0,0,0,0,0,2
boohoo,0,0,0,0,0,0,0,0
Bosideng,0,0,0,0,0,0,0,0
Bottega Veneta,0,1,0,1,2,2,1,7
Brooks Sport,1,1,0,0,0,0,0,2
Brunello Cucinelli,0,1,1,0,0,0,0,2
Buckle,0,0,0,0,0,0,0,0
Burberry,1,1,1,1,2,0,1,7
Burlington,0,0,0,1,0,0,0,1
C&A,1,1,1,1,2,2,1,9
Calvin Klein,1,1,0,1,2,2,1,8
Calzedonia,0,0,0,1,2,0,0,3
Canada Goose,0,0,0,0,0,0,0,0
Carhartt,0,0,0,0,0,0,0,0
Carolina Herrera,0,0,0,1,2,0,0,3
CAROLL,0,0,0,0,0,0,0,0
Carrefour ,0,0,0,1,0,0,1,2
Carter's,0,0,0,0,0,0,0,0
CELINE,0,0,0,0,0,0,1,1
celio,0,0,0,0,0,0,0,0
Champion,1,0,0,1,2,0,1,5
Chanel,0,0,0,0,0,0,0,0
Chico's,0,1,0,0,0,0,0,1
Chloé,0,0,0,0,0,0,0,0
Claire's,0,0,0,0,0,0,0,0
Clarks,0,0,0,0,0,0,0,0
COACH,0,0,0,1,0,0,0,1
Cole Haan,0,0,0,0,0,0,0,0
Columbia Sportswear,0,0,0,0,0,0,0,0
Converse,1,1,1,1,2,0,1,7
Cortefiel,0,0,0,0,0,0,0,0
Costco,0,0,0,0,0,0,0,0
Cotton On,0,0,0,0,0,0,0,0
Decathlon,0,0,0,0,0,0,1,1
Deichmann,0,0,0,0,0,0,0,0
Desigual,0,0,0,1,0,0,0,1
Dick's Sporting Goods,0,0,0,1,0,0,0,1
Diesel,0,0,0,0,0,0,0,0
Dillard's,0,0,0,0,0,0,0,0
Dior,0,0,0,0,0,0,1,1
Disney,0,0,0,1,0,0,0,1
DKNY,0,0,0,0,0,0,0,0
Dolce & Gabbana,0,0,0,0,0,0,0,0
Dr. Martens,0,0,0,0,0,0,0,0
Dressmann,0,1,0,1,0,0,1,3
DSW,0,0,0,0,0,0,0,0
Eddie Bauer,0,0,0,0,0,0,0,0
El Corte Inglés,0,0,0,1,0,0,0,1
Elie Tahari,0,0,0,0,0,0,0,0
Ermenegildo Zegna,0,0,0,0,0,0,0,0
Esprit,1,1,1,0,0,0,0,3
Express,0,0,0,0,0,0,0,0
Falabella,0,0,0,1,0,0,0,1
Famous Footwear,0,0,0,0,0,0,0,0
Fanatics,0,0,0,0,0,0,0,0
Fashion Nova,0,0,0,0,0,0,0,0
Fendi,0,1,0,0,0,0,1,2
Fila,0,0,0,0,0,0,0,0
Fjällräven,0,0,0,1,2,0,0,3
Foot Locker,0,0,0,0,0,0,0,0
Foschini,0,0,0,1,2,0,0,3
Fossil,0,0,0,0,0,0,0,0
Free people,1,1,0,0,0,0,0,2
Fruit of the Loom,0,0,0,0,2,2,1,5
Furla,0,0,0,0,0,0,0,0
Gap,1,1,1,0,0,0,1,4
Gerry Weber,0,0,0,0,0,0,0,0
Gildan,1,1,0,1,2,0,0,5
G-Star RAW,1,1,1,0,0,0,0,3
GU,1,1,1,1,2,0,0,6
Gucci,0,1,0,1,2,2,1,7
GUESS,0,0,0,0,0,0,0,0
H&M,1,1,1,0,0,0,1,4
Hanes,1,0,0,1,2,0,1,5
Heilan Home,0,0,0,0,0,0,0,0
Helly Hansen,1,1,0,0,0,0,1,3
HEMA,0,0,0,0,0,0,0,0
Hermès,0,0,0,1,2,0,1,4
Hollister Co.,0,0,0,0,0,0,0,0
Hudson's Bay,0,0,0,0,0,0,0,0
Hugo Boss,0,1,0,1,0,0,0,2
Intimissimi,0,0,0,1,2,0,0,3
Ito-Yokado,0,0,0,1,0,0,0,1
Jack & Jones,1,1,0,0,0,0,0,2
JD Sports,0,0,0,0,0,0,0,0
Jessica Simpson,0,0,0,0,0,0,0,0
Jil Sander,0,0,0,0,0,0,0,0
Jockey,0,0,0,0,0,0,0,0
Joe Fresh,0,0,0,0,0,0,0,0
John Lewis,0,0,0,0,0,0,0,0
Jordan,1,1,1,1,2,0,1,7
Justfab,0,0,0,0,0,0,0,0
Kate Spade,0,0,0,1,0,0,0,1
Kathmandu,0,0,0,0,0,0,0,0
Kaufland,1,1,0,0,0,0,0,2
Kiabi,0,0,0,0,0,0,0,0
KiK,0,0,0,0,0,0,0,0
Kmart ,0,0,0,0,0,0,0,0
Kmart Australia,1,1,1,0,0,0,1,4
Kohl's,1,0,0,1,0,0,0,2
KOOVS,0,0,0,0,0,0,0,0
K-Way,0,0,0,0,0,0,0,0
La Redoute,0,0,0,0,0,0,0,0
Lacoste,1,1,0,1,2,0,0,5
Lands' End,0,0,0,0,0,0,0,0
LC Waikiki,1,0,0,0,0,0,0,1
Levi Strauss & Co,1,1,1,0,0,0,1,4
Lidl,1,1,0,0,0,0,1,3
Lindex,1,1,0,0,0,0,0,2
Li-Ning,1,1,1,1,0,0,0,4
LL Bean,0,0,0,0,0,0,0,0
Longchamp,0,0,0,0,0,0,0,0
Louis Vuitton,0,0,0,0,0,0,1,1
Lululemon,1,0,0,0,0,0,0,1
Macy's,0,0,0,0,0,0,0,0
Mammut,1,0,0,0,0,0,0,1
Mango,0,0,0,0,0,0,0,0
Marc Jacobs,0,0,0,0,0,0,1,1
Marks & Spencer,1,0,0,1,0,0,0,2
Marni,0,0,0,0,0,0,0,0
Massimo Dutti,1,1,1,1,0,0,0,4
Matalan,0,0,0,0,0,0,0,0
Max Mara,0,0,0,0,0,0,0,0
Merrell,0,0,0,0,0,0,0,0
Metersbonwe,0,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0,0
Michael Kors,1,0,0,0,0,0,1,2
Miu Miu,0,1,0,0,0,0,0,1
Mizuno,0,0,0,1,0,0,0,1
Moncler,0,0,0,0,0,0,0,0
Monoprix,0,0,0,0,0,0,0,0
Morrisons,0,0,0,0,0,0,0,0
MRP,0,0,0,1,0,0,0,1
Muji,0,0,0,1,0,0,0,1
New Balance,1,1,1,0,0,0,1,4
New Look,0,0,0,1,0,0,0,1
New Yorker,0,0,0,0,0,0,0,0
Next,1,1,0,1,0,0,0,3
Nike,1,1,1,1,2,0,1,7
Nine West,0,0,0,0,0,0,0,0
Nordstrom,0,0,0,1,0,0,0,1
Old Navy,1,1,1,0,0,0,1,4
Otto,1,1,0,0,0,0,0,2
OVS,1,0,0,1,2,2,1,7
Paris,0,0,0,1,0,0,0,1
Patagonia,0,1,0,0,0,0,0,1
Pepe Jeans,0,0,0,0,0,0,0,0
Pimkie,0,0,0,0,0,0,0,0
Prada,0,1,0,0,0,0,0,1
PrettyLittleThing,0,0,0,0,0,0,0,0
Primark,1,1,1,1,0,0,1,5
Prisma,0,0,0,1,0,0,0,1
Pull&Bear,1,1,1,1,0,0,0,4
Puma,1,1,1,1,2,0,0,6
Quiksilver,0,0,0,0,0,0,0,0
Ralph Lauren,1,1,1,0,0,0,0,3
Reebok,1,1,1,1,0,0,0,4
REI,1,0,0,0,0,0,0,1
Reliance Trends,0,0,0,0,0,0,0,0
Reserved,1,0,0,0,0,0,0,1
REVOLVE,0,0,0,0,0,0,0,0
River Island,0,0,0,0,0,0,0,0
Ross Dress for Less,0,0,0,0,0,0,0,0
Roxy,0,0,0,0,0,0,0,0
Russell Athletic,0,0,0,0,2,2,1,5
s.Oliver,1,1,0,0,0,0,0,2
Sainsbury's,0,0,0,1,0,0,1,2
SAINT LAURENT,0,1,0,1,2,2,1,7
Saks Fifth Avenue,0,0,0,0,0,0,0,0
Salvatore Ferragamo,0,1,0,1,0,0,0,2
Sandro,0,0,0,0,0,0,0,0
Semir,0,0,0,0,0,0,0,0
SHEIN,0,0,0,0,0,0,0,0
Skechers,0,0,0,0,0,0,0,0
Speedo,0,0,0,0,0,2,0,2
Splash,0,0,0,1,0,0,0,1
Sports Direct,0,0,0,0,0,0,0,0
Steve Madden,0,0,0,0,0,0,0,0
Stradivarius,1,1,1,1,0,0,0,4
Superdry,1,0,0,1,0,0,1,3
Takko,0,0,0,0,0,0,0,0
Target,1,1,1,1,0,0,0,4
Target Australia,1,1,1,0,0,0,1,4
Tchibo,1,1,0,0,0,0,1,3
Ted Baker,0,0,0,0,0,0,0,0
Tesco ,1,1,1,0,0,0,0,3
Tezenis,0,0,0,1,2,0,0,3
The Children's Place,1,1,0,0,0,0,0,2
The North Face,0,1,0,1,2,0,1,5
The Warehouse,0,0,0,0,0,0,0,0
Timberland,0,1,0,1,2,0,1,5
TJ Maxx,0,0,0,0,0,0,0,0
Tod's,0,0,0,1,0,0,0,1
Tom Ford,0,0,0,0,0,0,0,0
Tom Tailor,0,0,0,0,0,0,1,1
Tommy Bahama,0,0,0,0,0,0,0,0
Tommy Hilfiger,1,1,0,1,2,2,1,8
Topman,0,0,0,0,0,0,0,0
Topshop,0,0,0,0,0,0,0,0
TOPVALU COLLECTION,0,0,0,1,0,0,0,1
Tory Burch,0,0,0,0,0,0,0,0
Triumph,0,0,0,0,0,0,0,0
Truworths,0,0,0,0,0,0,0,0
UGG,0,1,0,0,2,0,0,3
Under Armour,0,0,0,0,0,0,0,0
Uniqlo,1,1,1,1,2,0,0,6
United Arrows,0,0,0,0,0,0,0,0
United Colors of Benetton,1,1,1,0,0,0,0,3
Urban Outfitters,1,1,0,0,0,0,0,2
Valentino,1,1,0,0,0,0,0,2
Van Heusen,1,1,0,1,2,2,1,8
Vans,0,1,0,1,2,0,1,5
Vero Moda,1,1,0,0,0,0,0,2
Versace,1,0,0,0,0,0,1,2
Very,0,0,0,0,0,0,0,0
Victoria's Secret,1,1,1,0,0,0,0,3
Walmart,1,1,0,0,0,0,0,2
Woolworths South Africa,1,1,0,1,0,0,0,3
Wrangler,1,1,0,0,2,0,0,4
Youngor,0,0,0,0,0,0,0,0
Zalando,0,0,0,0,0,0,0,0
Zara,1,1,1,1,0,0,0,4
Zeeman,0,0,0,0,0,0,0,0
