Brand,"Decarbonisation, deforestation and regeneration - Publishes time-bound, measurable commitment to decarbonisation (e.g. commitment to a complete coal phase out and/or renewable energy targets for own operations and supply chain)","Decarbonisation, deforestation and regeneration - Publishes measurable progress towards decarbonisation","Decarbonisation, deforestation and regeneration - Publishes Science Based Targets (such as those approved by Science Based Targets Initiative) covering climate and/or other environmental topics","Decarbonisation, deforestation and regeneration - Publishes report that maps environmental impacts directly to financial statements (e.g. Environmental P&L) ","Decarbonisation, deforestation and regeneration - Publishes time-bound, measurable commitment to zero deforestation","Decarbonisation, deforestation and regeneration - Publishes measurable progress towards achieving zero deforestation","Decarbonisation, deforestation and regeneration - Discloses evidence of implementing regenerative farming practices in one or more raw material sources","Carbon emissions - Publishes annual carbon footprint or GHG emissions in owned and operated facilities (e.g. head office, retail stores, distribution centres, warehouses, transport and mail orders, etc.)","Carbon emissions - Publishes annual carbon footprint or GHG emissions in the supply chain (e.g. at manufacturing and processing facilities, textile production)",Carbon emissions - Publishes annual carbon footprint or GHG emissions at a raw material level ,"Energy use - Discloses data on absolute energy reduction in the supply chain (e.g. at manufacturing and processing facilities, fibre production level)","Energy use - % of energy use coming from renewable sources in the company’s owned and operated facilities (e.g. head office, retail stores, distribution centres, warehouses, etc.)","Energy use - % of energy use coming from renewable sources in the supply chain (e.g. at manufacturing and processing facilities, fibre production level)",Total
Abercrombie & Fitch,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Adidas,1,1,1,0,0,0,0,1,2,2,2,0,0,10
Aeropostale,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJIO,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ALDI Nord,1,0,0,0,0,0,0,1,0,0,0,1,0,3
ALDI SOUTH,1,1,0,0,1,1,1,1,0,0,0,1,0,7
ALDO,1,1,1,0,0,0,0,1,0,0,2,0,0,6
Amazon,0,0,1,0,0,0,0,1,0,0,0,1,0,3
American Eagle,1,1,1,0,0,0,0,1,2,0,0,1,0,7
ANTA,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Anthropologie,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Aritzia,0,1,0,0,1,0,0,1,2,2,0,0,0,7
Armani,1,0,0,0,0,0,0,1,0,0,0,0,0,2
Asda,1,1,1,0,0,1,0,1,0,0,2,1,0,8
ASICS,1,1,1,0,0,0,0,1,2,2,2,1,0,11
ASOS,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Balenciaga,1,1,1,1,1,1,1,1,2,2,2,1,0,15
Bally,0,0,0,0,1,0,0,1,0,0,0,1,0,3
Banana Republic,1,1,1,0,0,0,0,1,2,2,0,1,0,9
BCBGMAXAZRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beanpole,1,1,0,0,0,0,0,1,0,0,0,0,0,3
Belle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bershka,1,1,1,0,0,0,0,1,2,2,0,1,0,9
Big Bazaar - ffb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big W,0,0,1,0,0,0,0,1,0,0,0,0,0,2
Billabong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomingdale's,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Bonprix,0,1,0,0,0,0,1,1,0,0,0,1,0,4
boohoo,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Bosideng,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottega Veneta,1,1,1,1,1,1,1,1,2,2,2,1,0,15
Brooks Sport,1,1,0,0,0,0,0,1,2,2,0,1,0,8
Brunello Cucinelli,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Buckle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burberry,1,1,1,0,1,0,1,1,0,0,2,1,0,9
Burlington,0,0,0,0,0,0,0,1,0,0,2,1,0,4
C&A,0,0,1,0,0,0,1,1,2,2,0,0,0,7
Calvin Klein,1,1,1,0,0,0,0,1,0,0,0,1,2,7
Calzedonia,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Canada Goose,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Carhartt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carolina Herrera,0,1,0,0,0,0,0,1,2,0,0,1,0,5
CAROLL,0,0,0,0,0,0,0,1,2,0,0,1,0,4
Carrefour ,1,1,1,0,1,0,0,1,0,0,0,0,0,5
Carter's,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELINE,0,1,0,0,0,0,0,1,0,0,0,1,0,3
celio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champion,1,1,0,0,0,0,0,1,2,0,2,1,2,10
Chanel,0,0,0,0,0,0,1,1,0,0,0,1,0,3
Chico's,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloé,1,1,0,0,0,0,0,1,0,0,0,1,0,4
Claire's,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarks,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COACH,0,1,1,0,0,0,0,1,0,0,0,1,0,4
Cole Haan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia Sportswear,0,0,0,0,0,0,0,1,2,2,2,0,0,7
Converse,1,1,1,0,0,0,0,1,2,0,2,1,2,11
Cortefiel,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Costco,0,1,0,0,0,0,0,1,0,0,0,0,0,2
Cotton On,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decathlon,1,1,1,0,0,0,0,1,2,2,0,1,2,11
Deichmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desigual,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Dick's Sporting Goods,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillard's,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dior,0,1,0,0,0,0,0,1,0,0,0,1,0,3
Disney,0,0,0,0,0,0,0,1,0,0,0,0,0,1
DKNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolce & Gabbana,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr. Martens,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Dressmann,0,0,0,0,0,0,1,1,0,0,0,0,0,2
DSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Bauer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Corte Inglés,1,1,0,0,0,0,0,1,0,0,0,1,0,4
Elie Tahari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ermenegildo Zegna,0,0,0,0,0,0,0,0,0,0,2,1,0,3
Esprit,1,1,0,0,0,0,0,1,0,0,0,0,0,3
Express,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falabella,0,0,0,0,0,0,0,1,0,0,0,1,0,2
