Index,Brand,What are the company’s human rights and environmental policies?,What are the company’s vendor/supplier policies covering human rights and environmental standards across the supply chain?,Publishes the company’s human rights and environmental management procedures,Publishes a strategic plan towards progressively improving human rights and environmental impacts,Publishes an annual sustainability or corporate social responsibility report that is audited or verified by an independent third party,Publicly discloses contact details for the department the company that has responsibility for human rights and environmental issues,Publicly discloses the company board member or board committee accountable for human rights and environmental issues,Publicly acknowledges how the company prioritises money spent on managing and implementing CSR and sustainability activities,Publishes how the company incorporates human rights and environmental performance into purchasing practices,Publishes tier one factories,Publishes processing facilities,"Publishes suppliers of raw materials such as fibres, hides, rubber, dyes, metals, etc.","Publicly discloses human rights and environmental due diligence processes, outcomes and what brand is doing to remediate any issues identified.",Publicly discloses how the company assesses implementation of its supply chain policies by facility,Publicly discloses findings from its facility-level assessments,Publicly discloses description and status of the remediation process,Publicly discloses how the company ensures human rights and environmental grievances from employees and workers are captured and addressed,Decent work and purchasing practices,Gender and racial equality,Sustainable sourcing and materials,"Overconsumption, waste and circularity",Water and chemicals,Climate change and biodiversity
0,Abercrombie & Fitch,0.65,0.78,0.43,0.67,0.0,0.0,0.67,0.0,0.33,0.23,0.0,0.05,0.0,0.5,0.17,0.33,0.25,0.03,0.29,0.44,0.18,0.0,0.06
1,Adidas,0.75,0.97,0.97,0.67,1.0,1.0,0.67,0.0,0.67,0.96,0.65,0.05,0.83,0.33,0.21,1.0,1.0,0.2,0.14,0.78,0.36,0.44,0.59
2,Aeropostale,0.1,0.39,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AJIO,0.6,0.19,0.37,0.0,1.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.25,0.03,0.0,0.0,0.0,0.0,0.06
4,ALDI Nord,0.7,0.83,0.4,1.0,1.0,1.0,0.33,0.0,0.33,0.42,0.0,0.05,0.33,0.5,0.12,0.0,0.5,0.03,0.14,0.11,0.09,0.56,0.18
5,ALDI SOUTH,0.7,0.72,0.73,1.0,0.0,1.0,0.67,0.0,0.33,0.65,0.0,0.05,0.67,0.5,0.08,0.33,0.38,0.07,0.29,0.11,0.0,0.33,0.41
6,ALDO,0.6,0.72,0.3,0.17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.17,0.5,0.0,0.67,0.5,0.0,0.0,0.0,0.18,0.0,0.35
7,Amazon,0.9,0.75,0.53,1.0,1.0,1.0,0.67,0.0,0.0,0.58,0.0,0.05,0.33,0.67,0.12,0.33,0.0,0.03,0.71,0.33,0.27,0.0,0.18
8,American Eagle,0.85,0.61,0.5,0.5,0.0,1.0,0.33,0.0,0.33,0.0,0.0,0.05,0.0,0.33,0.0,0.0,0.25,0.0,0.0,0.11,0.18,0.0,0.41
9,ANTA,0.35,0.25,0.23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.12,0.0,0.14,0.11,0.0,0.11,0.06
