Index,Brand,Policy and commitments,Governance,Traceability,"Know, show and fix",Spotlight issues,Index Score
0,Abercrombie & Fitch,0.57,0.31,0.09,0.21,0.12,0.199
1,Adidas,0.91,0.62,0.58,0.49,0.39,0.544
2,Aeropostale,0.17,0.0,0.0,0.06,0.0,0.034
3,AJIO,0.34,0.15,0.0,0.06,0.02,0.073
4,ALDI Nord,0.64,0.38,0.16,0.26,0.14,0.248
5,ALDI SOUTH,0.73,0.46,0.24,0.28,0.18,0.304
6,ALDO,0.44,0.15,0.01,0.21,0.1,0.142
7,Amazon,0.7,0.31,0.22,0.21,0.18,0.273
8,American Eagle,0.57,0.38,0.01,0.09,0.12,0.155
9,ANTA,0.23,0.15,0.0,0.09,0.05,0.07
10,Anthropologie,0.4,0.31,0.0,0.15,0.18,0.157
11,Aritzia,0.6,0.62,0.01,0.21,0.2,0.223
12,Armani,0.66,0.15,0.0,0.09,0.08,0.139
13,Asda,0.71,0.62,0.35,0.34,0.27,0.382
14,ASICS,0.8,0.62,0.54,0.43,0.34,0.489
15,ASOS,0.83,0.46,0.62,0.38,0.24,0.469
16,Balenciaga,0.85,0.85,0.11,0.43,0.47,0.424
17,Bally,0.42,0.31,0.0,0.06,0.17,0.14
18,Banana Republic,0.91,0.46,0.45,0.51,0.35,0.488
19,BCBGMAXAZRIA,0.05,0.0,0.0,0.06,0.0,0.019
20,Beanpole,0.17,0.46,0.01,0.0,0.06,0.07
21,Belle,0.0,0.0,0.0,0.0,0.0,0.0
22,Bershka,0.89,0.62,0.01,0.34,0.42,0.358
23,Big Bazaar - ffb,0.0,0.0,0.0,0.0,0.0,0.0
24,Big W,0.79,0.31,0.2,0.36,0.12,0.288
25,Billabong,0.02,0.0,0.0,0.0,0.0,0.003
26,Bloomingdale's,0.48,0.15,0.0,0.11,0.02,0.1
27,Bonprix,0.7,0.54,0.41,0.3,0.17,0.353
28,boohoo,0.52,0.46,0.18,0.13,0.08,0.197
29,Bosideng,0.26,0.15,0.0,0.02,0.0,0.046
30,Bottega Veneta,0.85,0.85,0.11,0.43,0.46,0.42
31,Brooks Sport,0.61,0.31,0.31,0.19,0.22,0.296
32,Brunello Cucinelli,0.05,0.08,0.0,0.13,0.05,0.05
33,Buckle,0.3,0.15,0.0,0.13,0.0,0.071
34,Burberry,0.86,0.62,0.01,0.28,0.4,0.334
35,Burlington,0.47,0.31,0.0,0.15,0.12,0.146
36,C&A,0.93,0.77,0.84,0.51,0.43,0.651
37,Calvin Klein,0.89,0.46,0.72,0.49,0.42,0.586
38,Calzedonia,0.42,0.31,0.0,0.0,0.11,0.107
39,Canada Goose,0.3,0.0,0.01,0.11,0.06,0.084
40,Carhartt,0.26,0.15,0.12,0.04,0.0,0.086
41,Carolina Herrera,0.53,0.15,0.0,0.09,0.14,0.142
42,CAROLL,0.47,0.08,0.0,0.19,0.07,0.126
43,Carrefour ,0.67,0.46,0.11,0.23,0.13,0.233
44,Carter's,0.51,0.15,0.01,0.17,0.04,0.123
45,CELINE,0.8,0.77,0.01,0.19,0.11,0.222
46,celio,0.03,0.0,0.0,0.0,0.0,0.004
47,Champion,0.64,0.77,0.39,0.23,0.33,0.393
48,Chanel,0.45,0.15,0.0,0.09,0.07,0.108
49,Chico's,0.39,0.15,0.0,0.09,0.02,0.084
50,Chloé,0.55,0.62,0.01,0.17,0.13,0.184
51,Claire's,0.17,0.0,0.0,0.04,0.0,0.031
52,Clarks,0.67,0.38,0.55,0.21,0.08,0.341
53,COACH,0.58,0.31,0.09,0.15,0.2,0.216
54,Cole Haan,0.21,0.15,0.01,0.06,0.01,0.056
55,Columbia Sportswear,0.55,0.46,0.19,0.23,0.16,0.249
56,Converse,0.92,0.62,0.61,0.3,0.48,0.55
57,Cortefiel,0.58,0.15,0.01,0.21,0.06,0.148
58,Costco,0.49,0.23,0.01,0.11,0.05,0.117
59,Cotton On,0.39,0.08,0.22,0.26,0.02,0.176
60,Decathlon,0.7,0.15,0.01,0.26,0.25,0.236
61,Deichmann,0.18,0.0,0.0,0.0,0.0,0.024
62,Desigual,0.56,0.0,0.23,0.19,0.1,0.21
63,Dick's Sporting Goods,0.63,0.31,0.42,0.26,0.12,0.311
64,Diesel,0.42,0.0,0.0,0.04,0.02,0.072
65,Dillard's,0.19,0.15,0.0,0.15,0.0,0.061
66,Dior,0.8,0.77,0.01,0.19,0.11,0.222
67,Disney,0.49,0.31,0.19,0.28,0.05,0.205
68,DKNY,0.08,0.0,0.0,0.04,0.0,0.018
69,Dolce & Gabbana,0.12,0.0,0.0,0.0,0.0,0.016
70,Dr. Martens,0.49,0.31,0.14,0.09,0.05,0.153
71,Dressmann,0.82,0.62,0.55,0.47,0.24,0.472
72,DSW,0.35,0.15,0.0,0.13,0.04,0.09
73,Eddie Bauer,0.16,0.0,0.0,0.02,0.01,0.029
74,El Corte Inglés,0.73,0.31,0.16,0.26,0.22,0.281
75,Elie Tahari,0.0,0.0,0.0,0.0,0.0,0.0
76,Ermenegildo Zegna,0.33,0.15,0.78,0.15,0.05,0.328
77,Esprit,0.84,0.62,0.92,0.43,0.33,0.603
78,Express,0.23,0.15,0.0,0.11,0.0,0.059
79,Falabella,0.55,0.46,0.0,0.21,0.11,0.173
80,Famous Footwear,0.3,0.15,0.01,0.04,0.0,0.06
81,Fanatics,0.2,0.0,0.27,0.06,0.01,0.122
82,Fashion Nova,0.02,0.0,0.0,0.0,0.0,0.002
83,Fendi,0.8,0.77,0.66,0.21,0.16,0.434
84,Fila,0.2,0.08,0.0,0.04,0.01,0.043
85,Fjällräven,0.7,0.62,0.09,0.26,0.24,0.28
86,Foot Locker,0.28,0.31,0.0,0.06,0.02,0.073
87,Foschini,0.42,0.31,0.14,0.11,0.12,0.171
88,Fossil,0.49,0.0,0.09,0.09,0.05,0.125
89,Free people,0.4,0.31,0.0,0.15,0.18,0.157
90,Fruit of the Loom,0.64,0.31,0.35,0.28,0.25,0.34
91,Furla,0.36,0.15,0.0,0.09,0.0,0.071
92,Gap,0.91,0.46,0.45,0.51,0.35,0.488
93,Gerry Weber,0.16,0.15,0.01,0.09,0.0,0.049
94,Gildan,0.9,0.62,0.96,0.38,0.36,0.627
95,G-Star RAW,0.87,0.62,0.58,0.3,0.17,0.431
96,GU,0.86,0.46,0.32,0.43,0.33,0.421
97,Gucci,0.89,0.85,0.31,0.45,0.66,0.557
98,GUESS,0.54,0.23,0.0,0.06,0.07,0.119
99,H&M,0.87,0.85,0.81,0.49,0.54,0.671
100,Hanes,0.64,0.77,0.39,0.23,0.33,0.393
101,Heilan Home,0.02,0.0,0.0,0.0,0.0,0.003
102,Helly Hansen,0.46,0.15,0.65,0.21,0.18,0.361
103,HEMA,0.43,0.23,0.47,0.09,0.05,0.241
104,Hermès,0.93,0.69,0.23,0.28,0.27,0.367
105,Hollister Co.,0.57,0.31,0.09,0.21,0.12,0.199
106,Hudson's Bay,0.48,0.15,0.09,0.15,0.01,0.132
107,Hugo Boss,0.77,0.85,0.24,0.3,0.19,0.337
108,Intimissimi,0.42,0.31,0.0,0.0,0.11,0.107
109,Ito-Yokado,0.62,0.15,0.01,0.17,0.06,0.146
110,Jack & Jones,0.64,0.31,0.26,0.15,0.14,0.252
111,JD Sports,0.53,0.38,0.23,0.23,0.18,0.262
112,Jessica Simpson,0.0,0.0,0.0,0.0,0.0,0.0
113,Jil Sander,0.25,0.0,0.0,0.06,0.05,0.061
114,Jockey,0.14,0.0,0.0,0.02,0.0,0.022
115,Joe Fresh,0.47,0.15,0.05,0.15,0.06,0.134
116,John Lewis,0.61,0.15,0.24,0.11,0.25,0.265
117,Jordan,0.92,0.62,0.61,0.3,0.48,0.55
118,Justfab,0.19,0.0,0.0,0.04,0.0,0.033
119,Kate Spade,0.58,0.31,0.09,0.15,0.2,0.216
120,Kathmandu,0.72,0.15,0.27,0.13,0.12,0.247
121,Kaufland,0.25,0.15,0.2,0.09,0.06,0.137
122,Kiabi,0.39,0.38,0.16,0.19,0.18,0.216
123,KiK,0.57,0.23,0.01,0.19,0.05,0.143
124,Kmart ,0.33,0.31,0.0,0.13,0.0,0.084
125,Kmart Australia,0.86,0.62,0.55,0.53,0.45,0.557
126,Kohl's,0.55,0.15,0.01,0.19,0.08,0.149
127,KOOVS,0.0,0.0,0.0,0.0,0.0,0.0
128,K-Way,0.24,0.15,0.0,0.0,0.0,0.04
129,La Redoute,0.38,0.15,0.01,0.06,0.05,0.09
130,Lacoste,0.6,0.31,0.55,0.23,0.13,0.347
131,Lands' End,0.58,0.31,0.01,0.17,0.05,0.144
132,LC Waikiki,0.22,0.0,0.01,0.02,0.01,0.041
133,Levi Strauss & Co,0.93,0.62,0.43,0.26,0.33,0.439
134,Lidl,0.58,0.31,0.18,0.36,0.17,0.268
135,Lindex,0.73,0.31,0.82,0.23,0.31,0.504
136,Li-Ning,0.51,0.23,0.0,0.15,0.06,0.127
137,LL Bean,0.2,0.0,0.19,0.0,0.01,0.086
138,Longchamp,0.12,0.15,0.0,0.0,0.01,0.028
139,Louis Vuitton,0.8,0.77,0.01,0.19,0.11,0.222
140,Lululemon,0.78,0.46,0.59,0.34,0.17,0.423
141,Macy's,0.48,0.15,0.0,0.11,0.02,0.1
142,Mammut,0.52,0.15,0.31,0.3,0.27,0.312
143,Mango,0.65,0.15,0.15,0.26,0.22,0.258
144,Marc Jacobs,0.8,0.77,0.01,0.19,0.1,0.218
145,Marks & Spencer,0.83,0.62,0.54,0.43,0.29,0.477
146,Marni,0.28,0.0,0.0,0.04,0.0,0.045
147,Massimo Dutti,0.89,0.62,0.01,0.34,0.42,0.358
148,Matalan,0.45,0.08,0.18,0.17,0.07,0.172
149,Max Mara,0.03,0.0,0.0,0.0,0.0,0.004
150,Merrell,0.39,0.0,0.01,0.11,0.04,0.088
151,Metersbonwe,0.0,0.0,0.0,0.0,0.0,0.0
152,Mexx,0.0,0.0,0.0,0.0,0.0,0.0
153,Michael Kors,0.58,0.31,0.01,0.17,0.08,0.156
154,Miu Miu,0.48,0.31,0.15,0.09,0.13,0.184
155,Mizuno,0.54,0.15,0.23,0.15,0.12,0.215
156,Moncler,0.69,0.31,0.01,0.15,0.12,0.179
157,Monoprix,0.73,0.46,0.0,0.13,0.11,0.18
158,Morrisons,0.57,0.31,0.2,0.32,0.2,0.279
159,MRP,0.43,0.31,0.01,0.21,0.1,0.149
160,Muji,0.75,0.31,0.01,0.3,0.14,0.223
161,New Balance,0.81,0.54,0.47,0.36,0.23,0.419
162,New Look,0.68,0.46,0.41,0.26,0.18,0.342
163,New Yorker,0.03,0.0,0.0,0.0,0.0,0.004
164,Next,0.89,0.23,0.36,0.34,0.28,0.393
165,Nike,0.92,0.62,0.61,0.3,0.48,0.55
166,Nine West,0.08,0.0,0.0,0.02,0.0,0.014
167,Nordstrom,0.64,0.31,0.2,0.23,0.23,0.281
168,Old Navy,0.91,0.46,0.45,0.51,0.35,0.488
169,Otto,0.56,0.46,0.14,0.19,0.07,0.198
170,OVS,0.94,0.77,0.93,0.53,0.72,0.78
171,Paris,0.45,0.15,0.0,0.06,0.11,0.116
172,Patagonia,0.78,0.54,0.68,0.47,0.41,0.555
173,Pepe Jeans,0.02,0.0,0.0,0.0,0.0,0.002
174,Pimkie,0.55,0.54,0.24,0.21,0.23,0.288
175,Prada,0.48,0.31,0.15,0.09,0.13,0.184
176,PrettyLittleThing,0.52,0.46,0.18,0.13,0.08,0.197
177,Primark,0.85,0.38,0.23,0.4,0.3,0.376
178,Prisma,0.63,0.46,0.2,0.28,0.1,0.251
179,Pull&Bear,0.89,0.62,0.01,0.34,0.43,0.362
